"","country","ISO","item","model"
"1","Armenia","ARM","Rice (Milled Equivalent)","fabio"
"2","Armenia","ARM","Wheat and products","fabio"
"3","Armenia","ARM","Barley and products","fabio"
"4","Armenia","ARM","Maize and products","fabio"
"5","Armenia","ARM","Rye and products","fabio"
"6","Armenia","ARM","Oats","fabio"
"7","Armenia","ARM","Millet and products","fabio"
"8","Armenia","ARM","Sorghum and products","fabio"
"9","Armenia","ARM","Cereals, Other","fabio"
"10","Armenia","ARM","Potatoes and products","fabio"
"11","Armenia","ARM","Cassava and products","fabio"
"12","Armenia","ARM","Sweet potatoes","fabio"
"13","Armenia","ARM","Roots, Other","fabio"
"14","Armenia","ARM","Yams","fabio"
"15","Armenia","ARM","Sugar cane","fabio"
"16","Armenia","ARM","Sugar beet","fabio"
"17","Armenia","ARM","Beans","fabio"
"18","Armenia","ARM","Peas","fabio"
"19","Armenia","ARM","Pulses, Other and products","fabio"
"20","Armenia","ARM","Nuts and products","fabio"
"21","Armenia","ARM","Soyabeans","fabio"
"22","Armenia","ARM","Groundnuts (Shelled Eq)","fabio"
"23","Armenia","ARM","Sunflower seed","fabio"
"24","Armenia","ARM","Rape and Mustardseed","fabio"
"25","Armenia","ARM","Seed cotton","fabio"
"26","Armenia","ARM","Coconuts - Incl Copra","fabio"
"27","Armenia","ARM","Sesame seed","fabio"
"28","Armenia","ARM","Oil, palm fruit","fabio"
"29","Armenia","ARM","Olives (including preserved)","fabio"
"30","Armenia","ARM","Oilcrops, Other","fabio"
"31","Armenia","ARM","Tomatoes and products","fabio"
"32","Armenia","ARM","Onions","fabio"
"33","Armenia","ARM","Vegetables, Other","fabio"
"34","Armenia","ARM","Oranges, Mandarines","fabio"
"35","Armenia","ARM","Lemons, Limes and products","fabio"
"36","Armenia","ARM","Grapefruit and products","fabio"
"37","Armenia","ARM","Citrus, Other","fabio"
"38","Armenia","ARM","Bananas","fabio"
"39","Armenia","ARM","Plantains","fabio"
"40","Armenia","ARM","Apples and products","fabio"
"41","Armenia","ARM","Pineapples and products","fabio"
"42","Armenia","ARM","Dates","fabio"
"43","Armenia","ARM","Grapes and products (excl wine)","fabio"
"44","Armenia","ARM","Fruits, Other","fabio"
"45","Armenia","ARM","Coffee and products","fabio"
"46","Armenia","ARM","Cocoa Beans and products","fabio"
"47","Armenia","ARM","Tea (including mate)","fabio"
"48","Armenia","ARM","Hops","fabio"
"49","Armenia","ARM","Pepper","fabio"
"50","Armenia","ARM","Pimento","fabio"
"51","Armenia","ARM","Cloves","fabio"
"52","Armenia","ARM","Spices, Other","fabio"
"53","Armenia","ARM","Jute","fabio"
"54","Armenia","ARM","Jute-Like Fibres","fabio"
"55","Armenia","ARM","Soft-Fibres, Other","fabio"
"56","Armenia","ARM","Sisal","fabio"
"57","Armenia","ARM","Abaca","fabio"
"58","Armenia","ARM","Hard Fibres, Other","fabio"
"59","Armenia","ARM","Tobacco","fabio"
