Code;Item;Group
p01.a;Paddy rice;Agriculture & forestry
p01.b;Wheat;Agriculture & forestry
p01.c;Cereal grains nec;Agriculture & forestry
p01.d;Vegetables, fruit, nuts;Agriculture & forestry
p01.e;Oil seeds;Agriculture & forestry
p01.f;Sugar cane, sugar beet;Agriculture & forestry
p01.g;Plant-based fibers;Agriculture & forestry
p01.h;Crops nec;Agriculture & forestry
p01.i;Cattle;Agriculture & forestry
p01.j;Pigs;Agriculture & forestry
p01.k;Poultry;Agriculture & forestry
p01.l;Meat animals nec;Agriculture & forestry
p01.m;Animal products nec;Agriculture & forestry
p01.n;Raw milk;Agriculture & forestry
p01.o;Wool, silk-worm cocoons;Agriculture & forestry
p01.w.1;Manure (conventional treatment);Agriculture & forestry
p01.w.2;Manure (biogas treatment);Agriculture & forestry
p02;Products of forestry, logging and related services;Agriculture & forestry
p05;"Fish and other fishing products, services incidental of fishing";Agriculture & forestry
p10.a;Anthracite;Mining
p10.b;Coking Coal;Mining
p10.c;Other Bituminous Coal;Mining
p10.d;Sub-Bituminous Coal;Mining
p10.e;Patent Fuel;Mining
p10.f;Lignite/Brown Coal;Mining
p10.g;BKB/Peat Briquettes;Mining
p10.h;Peat;Mining
p11.a;Crude petroleum and services related to crude oil extraction, excluding surveying;Mining
p11.b;Natural gas and services related to natural gas extraction, excluding surveying;Mining
p11.b.1;Natural Gas Liquids;Mining
p11.c;Other Hydrocarbons;Mining
p12;Uranium and thorium ores;Mining
p13.1;Iron ores;Mining
p13.20.11;Copper ores and concentrates;Mining
p13.20.12;Nickel ores and concentrates;Mining
p13.20.13;Aluminium ores and concentrates;Mining
p13.20.14;Precious metal ores and concentrates;Mining
p13.20.15;Lead, zinc and tin ores and concentrates;Mining
p13.20.16;Other non-ferrous metal ores and concentrates;Mining
p14.1;Stone;Mining
p14.2;Sand and clay;Mining
p14.3;Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.;Mining
p15.a;Products of meat cattle;Manufacturing, other
p15.b;Products of meat pigs;Manufacturing, other
