L0,L1,L2,L3,L4,L5,value,rest,fd
2105,,,,,,3417196,0,0
2105,2143,,,,,2242535.26710427,0,0
2105,2176,,,,,1174660.73289573,0,0
2105,0,,,,,0,0,0
2105,2143,2143,,,,38692.3321625,0,0
2105,2143,2153,,,,378717.272732421,0,0
2105,2143,2166,,,,1368156.51215228,0,0
2105,2143,2176,,,,20267.4017760873,0,0
2105,2143,19716,,,,36.0844979080144,0,0
2105,2143,23096,,,,49.7214989653668,0,0
2105,2143,31578,,,,4217.59532469046,0,0
2105,2143,31600,,,,146.765480918946,0,0
2105,2143,31602,,,,662.578789386518,0,0
2105,2143,31614,,,,19750.7114310847,0,0
2105,2143,31615,,,,145735.297590064,0,0
2105,2143,31616,,,,920.056743678692,0,0
2105,2143,31617,,,,150.100384959447,0,0
2105,2143,31618,,,,6190.45940702626,0,0
2105,2143,31623,,,,199.166750578789,0,0
2105,2143,31627,,,,993.682046685252,0,0
2105,2143,31646,,,,10711.861205906,0,0
2105,2143,31649,,,,137.253718260772,0,0
2105,2143,31650,,,,213456.51603596,0,0
2105,2143,31651,,,,1765.64367065889,0,0
2105,2143,31652,,,,27915.0861655855,0,0
2105,2143,31653,,,,108.591493360272,0,0
2105,2143,31654,,,,116.898563915275,0,0
2105,2143,31655,,,,139.194767117511,0,0
2105,2143,31656,,,,194.709373274421,0,0
2105,2143,31663,,,,38.0904422701121,0,0
2105,2143,31677,,,,187.958668200371,0,0
2105,2143,31678,,,,1144.4520848035,0,0
2105,2143,31683,,,,60.8840738577934,0,0
2105,2143,31685,,,,56.5089880321543,0,0
2105,2143,31691,,,,47.077810738206,0,0
2105,2143,31710,,,,67.177342708774,0,0
2105,2143,34952,,,,1009.31941677647,0,1009.31941677647
2105,2143,0,,,,492.304513614142,492.304513614142,0
2105,2176,25015,,,,176.632927206683,0,0
2105,2176,26015,,,,1036.42545317148,0,0
2105,2176,28015,,,,960.447683019167,0,0
2105,2176,29015,,,,199.62398796404,0,0
2105,2176,29415,,,,6615.51562986366,0,0
2105,2176,30815,,,,11220.8701366091,0,0
2105,2176,31015,,,,125348.579008475,0,0
2105,2176,31415,,,,122285.429223216,0,0
2105,2176,31615,,,,593250.449935365,0,0
2105,2176,31815,,,,858.432221625584,0,0
2105,2176,32815,,,,32328.9838844125,0,0
2105,2176,33015,,,,39657.8854720518,0,0
2105,2176,33415,,,,125211.559768823,0,0
2105,2176,33815,,,,104716.342662001,0,0
2105,2176,34015,,,,3373.49927195518,0,0
2105,2176,34415,,,,1482.36597604445,0,0
2105,2176,34952,,,,5844.59499246727,0,5844.59499246727
2105,2176,0,,,,93.0946614625573,93.0946614625573,0
2105,2143,2143,2143,,,667.5910921599,0,0
2105,2143,2143,2153,,,6534.3251128267,0,0
2105,2143,2143,2166,,,23605.9459108707,0,0
2105,2143,2143,2176,,,349.690394213431,0,0
2105,2143,2143,31578,,,72.7696913505631,0,0
2105,2143,2143,31614,,,340.775504558289,0,0
2105,2143,2143,31615,,,2514.49269265533,0,0
2105,2143,2143,31618,,,106.809161545283,0,0
2105,2143,2143,31646,,,184.820679494912,0,0
2105,2143,2143,31650,,,3682.94338192424,0,0
2105,2143,2143,31652,,,481.642274307842,0,0
2105,2143,2143,0,,,150.52626659287,150.52626659287,0
2105,2143,2153,34777,,,378714.437175325,0,378714.437175325
2105,2143,2153,0,,,2.8355570958978,2.8355570958978,0
2105,2143,2166,2177,,,369213.873242365,0,0
2105,2143,2166,2179,,,527.305508158557,0,0
2105,2143,2166,2180,,,214.429680230575,0,0
2105,2143,2166,2181,,,254819.465011501,0,0
2105,2143,2166,2182,,,589494.524691647,0,0
2105,2143,2166,2183,,,29875.6381770911,0,0
2105,2143,2166,2191,,,123570.952144202,0,0
2105,2143,2166,2192,,,360.650223236531,0,0
2105,2143,2166,34952,,,67.6261425562595,0,67.6261425562595
2105,2143,2166,0,,,12.0473312890296,12.0473312890296,0
2105,2143,2176,29415,,,114.143011230063,0,0
2105,2143,2176,30815,,,193.603035299676,0,0
2105,2143,2176,31015,,,2162.74362603716,0,0
2105,2143,2176,31415,,,2109.89254686204,0,0
2105,2143,2176,31615,,,10235.8450282443,0,0
2105,2143,2176,32815,,,557.798934661587,0,0
2105,2143,2176,33015,,,684.250589079215,0,0
2105,2143,2176,33415,,,2160.3795187649,0,0
2105,2143,2176,33815,,,1806.75843655838,0,0
2105,2143,2176,34015,,,58.2057978285399,0,0
2105,2143,2176,34952,,,100.841674207353,0,100.841674207353
2105,2143,2176,0,,,82.9395773140955,82.9395773140955,0
2105,2143,19716,0,,,36.0844979080144,36.0844979080144,0
2105,2143,23096,0,,,49.7214989653668,49.7214989653668,0
2105,2143,31578,31568,,,112.445502106729,0,0
2105,2143,31578,31569,,,124.005564828571,0,0
2105,2143,31578,31574,,,44.4553323648487,0,0
2105,2143,31578,31578,,,221.847565830873,0,0
2105,2143,31578,31608,,,67.243738982861,0,0
2105,2143,31578,31611,,,221.835049326765,0,0
2105,2143,31578,31618,,,129.319455949522,0,0
2105,2143,31578,31620,,,158.366206887175,0,0
2105,2143,31578,31622,,,869.889419757171,0,0
2105,2143,31578,31650,,,225.081217468427,0,0
2105,2143,31578,31685,,,88.5040963868006,0,0
2105,2143,31578,34777,,,1715.91280203906,0,1715.91280203906
2105,2143,31578,0,,,238.689372761655,238.689372761655,0
