L0,L1,L2,L3,L4,L5,value,rest,fd
2105,,,,,,3417196,0,0
2105,2143,,,,,2173786.48309667,0,0
2105,2176,,,,,1243409.51690333,0,0
2105,0,,,,,0,0,0
2105,2143,2143,,,,36356.3362884967,0,0
2105,2143,2153,,,,1048045.60075561,0,0
2105,2143,2166,,,,645274.757216591,0,0
2105,2143,2176,,,,20795.8853789801,0,0
2105,2143,19703,,,,35.1533589262201,0,0
2105,2143,23083,,,,41.7971228059826,0,0
2105,2143,31578,,,,4088.29767026249,0,0
2105,2143,31600,,,,142.266132125874,0,0
2105,2143,31602,,,,642.266294529585,0,0
2105,2143,31614,,,,19145.219328423,0,0
2105,2143,31615,,,,141267.530842637,0,0
2105,2143,31616,,,,891.850818325477,0,0
2105,2143,31617,,,,145.498798934734,0,0
2105,2143,31618,,,,6000.68020358436,0,0
2105,2143,31623,,,,193.060950541711,0,0
2105,2143,31627,,,,963.219010762522,0,0
2105,2143,31646,,,,10383.4706369073,0,0
2105,2143,31649,,,,133.045968947142,0,0
2105,2143,31650,,,,206912.638607928,0,0
2105,2143,31651,,,,1711.51482054486,0,0
2105,2143,31652,,,,27059.3010827363,0,0
2105,2143,31653,,,,105.262433955232,0,0
2105,2143,31654,,,,113.314836943709,0,0
2105,2143,31655,,,,134.927511605447,0,0
2105,2143,31656,,,,188.740221821663,0,0
2105,2143,31663,,,,36.9227141069056,0,0
2105,2143,31677,,,,182.196471247657,0,0
2105,2143,31678,,,,1109.36693348421,0,0
2105,2143,31683,,,,59.0175676295294,0,0
2105,2143,31685,,,,54.7766076010868,0,0
2105,2143,31691,,,,45.6345593033376,0,0
2105,2143,31710,,,,65.117905476354,0,0
2105,2143,34952,,,,978.376990319906,0,978.376990319906
2105,2143,0,,,,483.437054583616,483.437054583616,0
2105,2176,25015,,,,186.970634615379,0,0
2105,2176,26015,,,,1097.08380977153,0,0
2105,2176,28015,,,,1016.65932648468,0,0
2105,2176,29015,,,,211.307281741506,0,0
2105,2176,29415,,,,7002.69862015157,0,0
2105,2176,30815,,,,11877.5884177227,0,0
2105,2176,31015,,,,132684.792897799,0,0
2105,2176,31415,,,,129442.367669791,0,0
2105,2176,31615,,,,627971.323718616,0,0
2105,2176,31815,,,,908.673256961984,0,0
2105,2176,32815,,,,34221.0862319349,0,0
2105,2176,33015,,,,41978.9227947133,0,0
2105,2176,33415,,,,132539.754401311,0,0
2105,2176,33815,,,,110845.023924708,0,0
2105,2176,34015,,,,3570.93838463045,0,0
2105,2176,34415,,,,1569.12367165249,0,0
2105,2176,34952,,,,6186.65869434864,0,6186.65869434864
2105,2176,0,,,,98.5431663745858,98.5431663745858,0
2105,2143,2143,2143,,,608.05566627653,0,0
2105,2143,2143,2153,,,17528.4456882218,0,0
