L0,L1,L2,L3,L4,L5,value
2101,,,,,,85275199.7485819
2101,2101,,,,,1207271.27863102
2101,2149,,,,,7218054.54256747
2101,2162,,,,,28172545.2274691
2101,2177,,,,,170422.186702318
2101,2181,,,,,117619.87722782
2101,2182,,,,,272099.596542102
2101,2183,,,,,13790.0332470035
2101,2191,,,,,57038.029726143
2101,3921,,,,,271455.283126483
2101,3969,,,,,4035866.54297912
2101,3982,,,,,18488323.6884702
2101,3997,,,,,865868.589830401
2101,3998,,,,,48139.3176276682
2101,3999,,,,,8620.12547402064
2101,4000,,,,,10230.5283655842
2101,4001,,,,,1911740.1077592
2101,4002,,,,,396356.989260439
2101,4003,,,,,72111.6036183071
2101,4004,,,,,43449.3243434231
2101,4005,,,,,17020.4694276209
2101,4008,,,,,26181.8349943339
2101,4011,,,,,224504.91922837
2101,4372,,,,,15080.7063768946
2101,5789,,,,,22542.3413443963
2101,5802,,,,,103526.625846555
2101,6322,,,,,27753.4411083674
2101,6452,,,,,32340.8571186134
2101,7219,,,,,52464.4527832407
2101,7232,,,,,217309.911631455
2101,7752,,,,,17035.9244747881
2101,9429,,,,,14456.4863994834
2101,9442,,,,,66716.8313511249
2101,9832,,,,,12692.0458075834
2101,9949,,,,,41734.596630447
2101,9962,,,,,184602.113687209
2101,9981,,,,,9260.00518823563
2101,10469,,,,,76285.4583687569
2101,10482,,,,,290681.892643266
2101,11249,,,,,44060.9515631864
2101,11262,,,,,177288.730005232
2101,12809,,,,,16266.4459751313
2101,12822,,,,,64252.4087852027
2101,13589,,,,,25581.3602831035
2101,13602,,,,,120018.44648953
2101,13617,,,,,9855.05542938173
2101,13621,,,,,13202.5652504086
2101,13622,,,,,16686.1740618748
2101,14499,,,,,164392.650543753
2101,14512,,,,,657710.600174199
2101,15669,,,,,54056.5441083157
2101,15682,,,,,240775.74001171
2101,16839,,,,,58556.7396705495
2101,16852,,,,,274010.524338768
2101,16871,,,,,8952.38483585505
2101,17762,,,,,23318.4777486039
2101,18009,,,,,13835.8725465223
2101,18022,,,,,46280.8623909839
2101,18789,,,,,58348.2583730439
2101,18802,,,,,259324.300216462
2101,18822,,,,,30742.0410566196
2101,19829,,,,,315797.728313432
2101,19842,,,,,1390683.5772181
2101,20869,,,,,163332.001938365
2101,20882,,,,,679117.271217411
