L0,L1,L2,L3,L4,L5,value,rest,fd
3925,,,,,,18930000,0,18930000
3925,3963,,,,,5830335.52069833,0,5830335.52069833
3925,3996,,,,,13099664.4793017,0,13099664.4793017
3925,0,,,,,0,0,0
3925,3963,3963,,,,37820.571736009,0,37820.571736009
3925,3963,3973,,,,2357902.62713822,0,2357902.62713822
3925,3963,3986,,,,2616811.23254822,0,2616811.23254822
3925,3963,3996,,,,84975.6928050234,0,84975.6928050234
3925,3963,3997,,,,174811.990096205,0,174811.990096205
3925,3963,3998,,,,9718.94582527162,0,9718.94582527162
3925,3963,4000,,,,2065.46240887864,0,2065.46240887864
3925,3963,4001,,,,385965.141488247,0,385965.141488247
3925,3963,4002,,,,80021.3275951366,0,80021.3275951366
3925,3963,4003,,,,14558.7599384037,0,14558.7599384037
3925,3963,4004,,,,8772.0734370293,0,8772.0734370293
3925,3963,4005,,,,3436.2975721256,0,3436.2975721256
3925,3963,4008,,,,5285.90450500861,0,5285.90450500861
3925,3963,4011,,,,45049.4355092074,0,45049.4355092074
3925,3963,0,,,,3140.05809534197,3140.05809534197,3140.05809534197
3925,3996,31015,,,,13081397.0063266,0,13081397.0063266
3925,3996,33815,,,,4186.63267217913,0,4186.63267217913
3925,3996,34952,,,,10069.3087966445,0,10069.3087966445
3925,3996,0,,,,4011.5315062668,4011.5315062668,4011.5315062668
3925,3963,3963,3973,,,15295.3848264163,0,15295.3848264163
3925,3963,3963,3986,,,16974.88876735,0,16974.88876735
3925,3963,3963,4001,,,2503.7019343797,0,2503.7019343797
3925,3963,3963,0,,,3046.59620786294,3046.59620786294,3046.59620786294
3925,3963,3973,31016,,,10418.2070409994,0,10418.2070409994
3925,3963,3973,31023,,,1949.10152609935,0,1949.10152609935
3925,3963,3973,31027,,,22688.1983261839,0,22688.1983261839
3925,3963,3973,31032,,,24943.2739314882,0,24943.2739314882
3925,3963,3973,31033,,,1962.78124081048,0,1962.78124081048
3925,3963,3973,31035,,,6534.97802148691,0,6534.97802148691
3925,3963,3973,31038,,,5932.25923325225,0,5932.25923325225
3925,3963,3973,31046,,,41496.5572115188,0,41496.5572115188
3925,3963,3973,31050,,,510133.953265634,0,510133.953265634
3925,3963,3973,31059,,,61866.0880976619,0,61866.0880976619
3925,3963,3973,31063,,,27361.8238684714,0,27361.8238684714
3925,3963,3973,31077,,,32027.1062665172,0,32027.1062665172
3925,3963,3973,31078,,,86208.2390442088,0,86208.2390442088
3925,3963,3973,31079,,,33198.98312922,0,33198.98312922
3925,3963,3973,31080,,,74530.148410194,0,74530.148410194
3925,3963,3973,31081,,,86331.5897291257,0,86331.5897291257
3925,3963,3973,31082,,,4604.90258013162,0,4604.90258013162
3925,3963,3973,31083,,,35602.4498802298,0,35602.4498802298
3925,3963,3973,31084,,,37905.9479479343,0,37905.9479479343
3925,3963,3973,31085,,,49135.6756007932,0,49135.6756007932
3925,3963,3973,31088,,,14134.2436808183,0,14134.2436808183
3925,3963,3973,31091,,,2410.70347867289,0,2410.70347867289
3925,3963,3973,34791,,,1166149.31847957,0,1166149.31847957
3925,3963,3973,0,,,20376.0971472034,20376.0971472034,20376.0971472034
3925,3963,3986,3997,,,249926.27786934,0,249926.27786934
3925,3963,3986,3998,,,13895.0420596844,0,13895.0420596844
3925,3963,3986,3999,,,2488.13261018123,0,2488.13261018123
3925,3963,3986,4000,,,2952.96296121329,0,2952.96296121329
3925,3963,3986,4001,,,551809.010047788,0,551809.010047788
3925,3963,3986,4002,,,114405.38229105,0,114405.38229105
3925,3963,3986,4003,,,20814.4571765131,0,20814.4571765131
3925,3963,3986,4004,,,12541.3117378659,0,12541.3117378659
3925,3963,3986,4005,,,4912.82698274964,0,4912.82698274964
3925,3963,3986,4008,,,7557.18436351269,0,7557.18436351269
3925,3963,3986,4011,,,64406.5531817058,0,64406.5531817058
3925,3963,3986,9462,,,3647.38204153057,0,3647.38204153057
3925,3963,3986,13617,,,2084.18337248533,0,2084.18337248533
3925,3963,3986,13621,,,2792.12706272729,0,2792.12706272729
3925,3963,3986,13622,,,3528.8534680862,0,3528.8534680862
3925,3963,3986,19727,,,2460.74248680423,0,2460.74248680423
3925,3963,3986,19732,,,2763.14566126808,0,2763.14566126808
3925,3963,3986,30982,,,2056.84331310752,0,2056.84331310752
3925,3963,3986,31016,,,13394.2511695448,0,13394.2511695448
3925,3963,3986,31023,,,2505.87795892119,0,2505.87795892119
3925,3963,3986,31027,,,29169.2635565249,0,29169.2635565249
3925,3963,3986,31030,,,1894.86797252008,0,1894.86797252008
3925,3963,3986,31032,,,32068.5195364543,0,32068.5195364543
3925,3963,3986,31033,,,2523.46539350062,0,2523.46539350062
3925,3963,3986,31035,,,8401.7467365339,0,8401.7467365339
3925,3963,3986,31038,,,7626.85650806667,0,7626.85650806667
3925,3963,3986,31040,,,1951.44832129363,0,1951.44832129363
3925,3963,3986,31046,,,53350.3805189452,0,53350.3805189452
3925,3963,3986,31050,,,655857.795229351,0,655857.795229351
3925,3963,3986,31053,,,2412.04135362918,0,2412.04135362918
3925,3963,3986,31059,,,79538.6307448333,0,79538.6307448333
3925,3963,3986,31063,,,35177.9475977853,0,35177.9475977853
3925,3963,3986,31077,,,41175.9052089528,0,41175.9052089528
3925,3963,3986,31078,,,110834.311710082,0,110834.311710082
3925,3963,3986,31079,,,42682.5380659356,0,42682.5380659356
3925,3963,3986,31080,,,95820.2811271671,0,95820.2811271671
