L0,L1,L2,L3,L4,L5,value
9360,,,,,,62410116.1053644
9360,33368,,,,,127524.983343475
9360,33378,,,,,1328887.77460313
9360,33379,,,,,454543.95179395
9360,33407,,,,,492742.565136884
9360,33411,,,,,938778.741461089
9360,33413,,,,,770929.480069713
9360,33418,,,,,21324595.2813847
9360,33420,,,,,530899.708796498
9360,33450,,,,,371486.30104909
9360,33459,,,,,102302.745243888
9360,33485,,,,,185899.238649585
9360,33510,,,,,35428344.0520713
9360,0,,,,,353181.2817611
9360,33368,0,,,,127524.983343475
9360,33378,33418,,,,289259.106883997
9360,33378,33510,,,,485149.637284905
9360,33378,34832,,,,371187.04359078
9360,33378,0,,,,183291.986843446
9360,33379,34832,,,,375622.968084507
9360,33379,0,,,,78920.9837094436
9360,33407,0,,,,492742.565136884
9360,33411,33371,,,,85193.6733516955
9360,33411,33411,,,,87430.8101683338
9360,33411,34832,,,,560765.540174697
9360,33411,34953,,,,68710.1209950613
9360,33411,0,,,,136678.596771302
9360,33413,34832,,,,554900.280603339
9360,33413,0,,,,216029.199466374
9360,33418,30710,,,,93385.1079844938
9360,33418,30818,,,,95346.3509142603
9360,33418,30910,,,,540400.769394008
9360,33418,31022,,,,97622.5486735162
9360,33418,31085,,,,142456.485152258
9360,33418,31110,,,,104589.798487049
9360,33418,32510,,,,100099.811060501
9360,33418,33418,,,,3630762.02574357
9360,33418,33477,,,,261468.039031266
9360,33418,33485,,,,279897.90202194
9360,33418,33510,,,,7215544.03087662
9360,33418,33850,,,,137365.297299022
9360,33418,34710,,,,256264.281231473
9360,33418,34832,,,,6507063.32681643
9360,33418,34953,,,,97605.9616418175
9360,33418,0,,,,1764723.54505646
9360,33420,31022,,,,138753.640834719
9360,33420,33422,,,,244801.991972847
9360,33420,0,,,,147344.075988932
9360,33450,34832,,,,94164.3136633595
9360,33450,0,,,,277321.98738573
9360,33459,33510,,,,65986.6205085752
9360,33459,0,,,,36316.1247353129
9360,33485,0,,,,185899.238649585
9360,33510,33365,,,,118446.906073245
9360,33510,33533,,,,472279.514246945
9360,33510,34832,,,,34255365.5605616
9360,33510,0,,,,582252.07118943
9360,33378,33418,33510,,,97875.7999630368
9360,33378,33418,34832,,,88265.5591590815
9360,33378,33418,0,,,103117.747761879
9360,33378,33510,34832,,,469087.071987964
9360,33378,33510,0,,,16062.565296941
9360,33411,33371,0,,,85193.6733516955
9360,33411,33411,0,,,87430.8101683339
9360,33418,30710,34934,,,85522.4193482701
9360,33418,30710,0,,,7862.68863622374
9360,33418,30818,30910,,,65933.2234767062
9360,33418,30818,0,,,29413.1274375539
9360,33418,30910,34841,,,439617.755925522
9360,33418,30910,0,,,100783.013468486
9360,33418,31022,0,,,97622.5486735159
9360,33418,31085,0,,,142456.485152258
9360,33418,31110,34791,,,98344.4997758423
9360,33418,31110,0,,,6245.29871120661
9360,33418,32510,0,,,100099.811060501
9360,33418,33418,30910,,,92009.5582733595
9360,33418,33418,33418,,,618179.745670913
9360,33418,33418,33510,,,1228530.85447568
9360,33418,33418,34832,,,1107903.71936098
9360,33418,33418,0,,,584138.147962639
9360,33418,33477,33510,,,143614.718704202
9360,33418,33477,0,,,117853.320327064
9360,33418,33485,0,,,279897.90202194
9360,33418,33510,33533,,,96187.2117116528
9360,33418,33510,34832,,,6976648.36190832
9360,33418,33510,0,,,142708.457256654
9360,33418,33850,0,,,137365.297299022
9360,33418,34710,34957,,,220238.126836684
9360,33418,34710,0,,,36026.1543947887
9360,33420,31022,0,,,138753.640834719
9360,33420,33422,0,,,244801.991972846
9360,33459,33510,34832,,,63801.9040434138
9360,33459,33510,0,,,2184.71646516149
9360,33510,33365,33407,,,90497.3666529553
9360,33510,33365,0,,,27949.53942029
9360,33510,33533,34832,,,465315.25593662
9360,33510,33533,0,,,6964.25831032524
9360,33378,33418,33510,34832,,94635.2813537786
9360,33378,33418,33510,0,,3240.51860925824
9360,33418,30818,30910,0,,65933.2234767062
9360,33418,33418,30910,34841,,74850.0702121342
9360,33418,33418,30910,0,,17159.4880612254
9360,33418,33418,33418,33418,,105252.33965988
9360,33418,33418,33418,33510,,209171.762231679
9360,33418,33418,33418,34832,,188633.580115229
9360,33418,33418,33418,0,,115122.063664126
9360,33418,33418,33510,34832,,1187856.06972317
9360,33418,33418,33510,0,,40674.7847525111
9360,33418,33477,33510,34832,,138859.854185085
9360,33418,33477,33510,0,,4754.86451911614
9360,33418,33510,33533,34832,,94768.8300789495
9360,33418,33510,33533,0,,1418.38163270327
9360,33510,33365,33407,0,,90497.3666529553
9360,33418,33418,33418,33418,0,105252.33965988
9360,33418,33418,33418,33510,34832,202246.403886725
9360,33418,33418,33418,33510,0,6925.35834495431
