L0,L1,L2,L3,L4,L5,value
9358,,,,,,52614279.9613829
9358,33368,,,,,107542.472089931
9358,33378,,,,,1120657.87161085
9358,33379,,,,,383319.244338086
9358,33407,,,,,415532.330759294
9358,33411,,,,,791676.924436669
9358,33413,,,,,650128.781984618
9358,33418,,,,,17983140.5011881
9358,33420,,,,,447710.445584004
9358,33450,,,,,313276.301748347
9358,33459,,,,,86272.4294225684
9358,33485,,,,,156769.780790058
9358,33510,,,,,29876904.129055
9358,0,,,,,281348.748375471
9358,33368,0,,,,107542.472089931
9358,33378,33418,,,,243933.687448878
9358,33378,33510,,,,409129.175783747
9358,33378,34832,,,,313023.936399894
9358,33378,0,,,,154571.071978328
9358,33379,34832,,,,316764.774262031
9358,33379,0,,,,66554.4700760551
9358,33407,0,,,,415532.330759294
9358,33411,33371,,,,71844.2614023849
9358,33411,33411,,,,73730.8503464249
9358,33411,34832,,,,472896.454264215
9358,33411,34953,,,,57943.5972126731
9358,33411,0,,,,115261.761210971
9358,33413,34832,,,,467950.250804975
9358,33413,0,,,,182178.531179643
9358,33418,30710,,,,78752.1402138765
9358,33418,30818,,,,80406.0664290081
9358,33418,30910,,,,455722.738684097
9358,33418,31022,,,,82325.5956661664
9358,33418,31085,,,,120134.284097519
9358,33418,31110,,,,88201.1131449442
9358,33418,32510,,,,84414.6837344563
9358,33418,33418,,,,3061840.22598179
9358,33418,33477,,,,220497.337484009
9358,33418,33485,,,,236039.33540733
9358,33418,33510,,,,6084905.26490958
9358,33418,33850,,,,115840.859285719
9358,33418,34710,,,,216108.981859295
9358,33418,34832,,,,5487439.85581845
9358,33418,34953,,,,82311.6077373173
9358,33418,0,,,,1488200.41073457
9358,33420,31022,,,,117011.656505404
9358,33420,33422,,,,206442.774576895
9358,33420,0,,,,124256.014501704
9358,33450,34832,,,,79409.2483567259
9358,33450,0,,,,233867.053391621
9358,33459,33510,,,,55646.8552929665
9358,33459,0,,,,30625.5741296019
9358,33485,0,,,,156769.780790058
9358,33510,33365,,,,99886.8829977575
9358,33510,33533,,,,398275.735059306
9358,33510,34832,,,,28887725.3549986
9358,33510,0,,,,491016.155999346
9358,33378,33418,33510,,,82539.1637766728
9358,33378,33418,34832,,,74434.7984488747
9358,33378,33418,0,,,86959.7252233304
9358,33378,33510,34832,,,395583.532139267
9358,33378,33510,0,,,13545.6436444801
9358,33411,33371,0,,,71844.2614023849
9358,33411,33411,0,,,73730.850346425
9358,33418,30710,34934,,,72121.4945863021
9358,33418,30710,0,,,6630.64562757438
9358,33418,30818,30910,,,55601.8253023019
9358,33418,30818,0,,,24804.241126706
9358,33418,30910,34841,,,370731.906857195
9358,33418,30910,0,,,84990.8318269026
9358,33418,31022,0,,,82325.5956661663
9358,33418,31085,0,,,120134.284097519
9358,33418,31110,34791,,,82934.4207311585
9358,33418,31110,0,,,5266.69241378563
9358,33418,32510,0,,,84414.6837344562
9358,33418,33418,30910,,,77592.1320920206
9358,33418,33418,33418,,,521314.14803887
9358,33418,33418,33510,,,1036026.3664824
9358,33418,33418,34832,,,934300.885159106
9358,33418,33418,0,,,492606.694209385
9358,33418,33477,33510,,,121111.028388463
9358,33418,33477,0,,,99386.3090955461
9358,33418,33485,0,,,236039.33540733
9358,33418,33510,33533,,,81115.1686493279
9358,33418,33510,34832,,,5883443.32279559
9358,33418,33510,0,,,120346.773464653
9358,33418,33850,0,,,115840.859285719
9358,33418,34710,34957,,,185727.941204116
9358,33418,34710,0,,,30381.0406551788
9358,33420,31022,0,,,117011.656505404
9358,33420,33422,0,,,206442.774576895
9358,33459,33510,34832,,,53804.4727000103
9358,33459,33510,0,,,1842.38259295616
9358,33510,33365,33407,,,76316.8931477116
9358,33510,33365,0,,,23569.9898500458
9358,33510,33533,34832,,,392402.740330516
9358,33510,33533,0,,,5872.99472878969
9358,33378,33418,33510,34832,,79806.4178240274
9358,33378,33418,33510,0,,2732.74595264542
9358,33418,30818,30910,0,,55601.8253023019
9358,33418,33418,30910,34841,,63121.4478580811
9358,33418,33418,30910,0,,14470.6842339396
9358,33418,33418,33418,33418,,88759.837511884
9358,33418,33418,33418,33510,,176395.619211449
9358,33418,33418,33418,34832,,159075.664963055
9358,33418,33418,33418,0,,97083.0263524826
9358,33418,33418,33510,34832,,1001725.11201975
9358,33418,33418,33510,0,,34301.2544626589
9358,33418,33477,33510,34832,,117101.226768171
9358,33418,33477,33510,0,,4009.80162029258
9358,33418,33510,33533,34832,,79919.0401484754
9358,33418,33510,33533,0,,1196.12850085244
9358,33510,33365,33407,0,,76316.8931477116
9358,33418,33418,33418,33418,0,88759.837511884
9358,33418,33418,33418,33510,34832,170555.429022841
9358,33418,33418,33418,33510,0,5840.19018860845
