L0,L1,L2,L3,L4,L5,value,rest,fd
9125,,,,,,18913000,0,18913000
9125,9163,,,,,12673651.2910805,0,12673651.2910805
9125,9196,,,,,6239348.70891955,0,6239348.70891955
9125,0,,,,,0,0,0
9125,9163,9163,,,,171775.982489019,0,171775.982489019
9125,9163,9173,,,,1682825.55780215,0,1682825.55780215
9125,9163,9186,,,,4674692.92350071,0,4674692.92350071
9125,9163,9196,,,,84566.8095129416,0,84566.8095129416
9125,9163,9197,,,,755768.608311808,0,755768.608311808
9125,9163,9198,,,,1218560.27068937,0,1218560.27068937
9125,9163,9199,,,,2665.21668822269,0,2665.21668822269
9125,9163,9200,,,,7254.59801923034,0,7254.59801923034
9125,9163,9201,,,,300941.449380027,0,300941.449380027
9125,9163,9202,,,,1507121.28005961,0,1507121.28005961
9125,9163,9203,,,,20215.9067889247,0,20215.9067889247
9125,9163,9204,,,,5794.36818790834,0,5794.36818790834
9125,9163,9205,,,,3862.91212527223,0,3862.91212527223
9125,9163,9211,,,,2173963.0298129,0,2173963.0298129
9125,9163,9212,,,,60882.9889665631,0,60882.9889665631
9125,9163,11266,,,,240.12190819213,0,240.12190819213
9125,9163,19716,,,,207.685920315596,0,207.685920315596
9125,9163,34952,,,,1485.68742133696,0,1485.68742133696
9125,9163,0,,,,825.893495958996,825.893495958996,825.893495958996
9125,9196,25015,,,,3411.60234914851,0,3411.60234914851
9125,9196,25215,,,,608.569814810589,0,608.569814810589
9125,9196,25415,,,,2481.73067095158,0,2481.73067095158
9125,9196,26015,,,,7699.54479148552,0,7699.54479148552
9125,9196,27615,,,,312.444279132748,0,312.444279132748
9125,9196,28015,,,,2771.40343288955,0,2771.40343288955
9125,9196,29415,,,,434.505649636153,0,434.505649636153
9125,9196,30015,,,,521.781005776279,0,521.781005776279
9125,9196,30815,,,,5398.97165099905,0,5398.97165099905
9125,9196,31015,,,,1409086.77886684,0,1409086.77886684
9125,9196,31415,,,,6427.44688033132,0,6427.44688033132
9125,9196,31615,,,,4588.75819704708,0,4588.75819704708
9125,9196,31815,,,,3859827.38828901,0,3859827.38828901
9125,9196,32215,,,,659.122972515933,0,659.122972515933
9125,9196,32815,,,,10417.7669914305,0,10417.7669914305
9125,9196,33015,,,,28509.0337524663,0,28509.0337524663
9125,9196,33415,,,,44932.6502477955,0,44932.6502477955
9125,9196,33615,,,,21114.199762081,0,21114.199762081
9125,9196,33815,,,,719938.96267582,0,719938.96267582
9125,9196,34015,,,,67929.1380619927,0,67929.1380619927
9125,9196,34215,,,,10105.2166581115,0,10105.2166581115
9125,9196,34415,,,,12560.3492876562,0,12560.3492876562
9125,9196,34615,,,,12195.5665718146,0,12195.5665718146
9125,9196,34952,,,,8295.4328052212,0,8295.4328052212
9125,9196,0,,,,-879.65674541597,-879.65674541597,-879.65674541597
9125,9163,9163,9163,,,2328.21524613308,0,2328.21524613308
9125,9163,9163,9173,,,22808.6608121007,0,22808.6608121007
9125,9163,9163,9186,,,63359.7967409707,0,63359.7967409707
9125,9163,9163,9196,,,1146.20060599828,0,1146.20060599828
9125,9163,9163,9197,,,10243.5274764493,0,10243.5274764493
9125,9163,9163,9198,,,16516.1075456659,0,16516.1075456659
9125,9163,9163,9201,,,4078.89659827594,0,4078.89659827594
9125,9163,9163,9202,,,20427.2022849917,0,20427.2022849917
9125,9163,9163,9203,,,274.002114372354,0,274.002114372354
9125,9163,9163,9211,,,29465.4339751112,0,29465.4339751112
9125,9163,9163,9212,,,825.195123836163,0,825.195123836163
9125,9163,9163,0,,,302.743965113678,302.743965113678,302.743965113678
9125,9163,9173,34831,,,1682637.61467248,0,1682637.61467248
9125,9163,9173,0,,,187.943129670043,187.943129670043,187.943129670043
9125,9163,9186,9197,,,573897.182388639,0,573897.182388639
9125,9163,9186,9198,,,925320.657974256,0,925320.657974256
9125,9163,9186,9199,,,2023.84741970538,0,2023.84741970538
9125,9163,9186,9200,,,5508.82018227569,0,5508.82018227569
9125,9163,9186,9201,,,228521.597700306,0,228521.597700306
9125,9163,9186,9202,,,1144441.09828298,0,1144441.09828298
9125,9163,9186,9203,,,15351.0635636359,0,15351.0635636359
9125,9163,9186,9204,,,4399.98637174278,0,4399.98637174278
9125,9163,9186,9205,,,2933.32424782852,0,2933.32424782852
9125,9163,9186,9211,,,1650811.16588525,0,1650811.16588525
9125,9163,9186,9212,,,46231.8432375187,0,46231.8432375187
9125,9163,9186,9457,,,761.914060447489,0,761.914060447489
9125,9163,9186,9462,,,3334.97390189594,0,3334.97390189594
9125,9163,9186,9471,,,926.574441559953,0,926.574441559953
9125,9163,9186,10887,,,214.992319879292,0,214.992319879292
9125,9163,9186,11277,,,1089.64890337941,0,1089.64890337941
9125,9163,9186,11281,,,1178.99263915669,0,1178.99263915669
9125,9163,9186,11282,,,403.174731794763,0,403.174731794763
9125,9163,9186,11290,,,256.909788791352,0,256.909788791352
9125,9163,9186,11291,,,299.534796578338,0,299.534796578338
9125,9163,9186,13617,,,896.075658803996,0,896.075658803996
9125,9163,9186,13621,,,1200.44960065788,0,1200.44960065788
9125,9163,9186,13622,,,1517.19840873088,0,1517.19840873088
9125,9163,9186,13623,,,606.918726703754,0,606.918726703754
