L0,L1,L2,L3,L4,L5,value,rest,fd
9125,,,,,,18913000,0,18913000
9125,9163,,,,,6843795.9965984,0,6843795.9965984
9125,9196,,,,,12069204.0034016,0,12069204.0034016
9125,0,,,,,0,0,0
9125,9163,9163,,,,50090.2321914772,0,50090.2321914772
9125,9163,9173,,,,2883682.5378241,0,2883682.5378241
9125,9163,9186,,,,549389.631461662,0,549389.631461662
9125,9163,9196,,,,88335.366980134,0,88335.366980134
9125,9163,9197,,,,408116.497536847,0,408116.497536847
9125,9163,9198,,,,658024.882539343,0,658024.882539343
9125,9163,9200,,,,3917.49683975301,0,3917.49683975301
9125,9163,9201,,,,162508.959665559,0,162508.959665559
9125,9163,9202,,,,813848.380862377,0,813848.380862377
9125,9163,9203,,,,10916.6284263337,0,10916.6284263337
9125,9163,9204,,,,3128.96993111474,0,3128.96993111474
9125,9163,9205,,,,2085.97995407649,0,2085.97995407649
9125,9163,9211,,,,903792.980774504,0,903792.980774504
9125,9163,9212,,,,303028.154276059,0,303028.154276059
9125,9163,0,,,,2929.29733506583,2929.29733506583,2929.29733506583
9125,9196,25015,,,,6599.29852477947,0,6599.29852477947
9125,9196,25415,,,,4800.58338563356,0,4800.58338563356
9125,9196,26015,,,,14893.7623391559,0,14893.7623391559
9125,9196,28015,,,,5360.91745592846,0,5360.91745592846
9125,9196,30815,,,,10443.6045017547,0,10443.6045017547
9125,9196,31015,,,,2725694.07257651,0,2725694.07257651
9125,9196,31415,,,,12433.0553137459,0,12433.0553137459
9125,9196,31615,,,,8876.3525467441,0,8876.3525467441
9125,9196,31815,,,,7466331.23751852,0,7466331.23751852
9125,9196,32815,,,,20151.8076557786,0,20151.8076557786
9125,9196,33015,,,,55146.996962438,0,55146.996962438
9125,9196,33415,,,,86916.3349499736,0,86916.3349499736
9125,9196,33615,,,,40842.65781344,0,40842.65781344
9125,9196,33815,,,,1392627.75906565,0,1392627.75906565
9125,9196,34015,,,,131400.032806853,0,131400.032806853
9125,9196,34215,,,,19547.2199159133,0,19547.2199159133
9125,9196,34415,,,,24296.3528693292,0,24296.3528693292
9125,9196,34615,,,,23590.7284171947,0,23590.7284171947
9125,9196,34952,,,,16046.4297627087,0,16046.4297627087
9125,9196,0,,,,3204.79901954473,3204.79901954473,3204.79901954473
9125,9163,9163,9173,,,21105.8786611861,0,21105.8786611861
9125,9163,9163,9186,,,4021.02199089257,0,4021.02199089257
9125,9163,9163,9197,,,2987.03382347366,0,2987.03382347366
9125,9163,9163,9198,,,4816.13116033086,0,4816.13116033086
9125,9163,9163,9202,,,5956.61448504839,0,5956.61448504839
9125,9163,9163,9211,,,6614.92544233105,0,6614.92544233105
9125,9163,9163,9212,,,2217.88472593088,0,2217.88472593088
9125,9163,9163,0,,,2370.74190228363,2370.74190228363,2370.74190228363
9125,9163,9173,34831,,,2883360.47929663,0,2883360.47929663
9125,9163,9173,0,,,322.058527469329,322.058527469329,322.058527469329
9125,9163,9186,9197,,,67446.8177245039,0,67446.8177245039
9125,9163,9186,9198,,,108747.586972546,0,108747.586972546
9125,9163,9186,9201,,,26856.8221263148,0,26856.8221263148
9125,9163,9186,9202,,,134499.545425633,0,134499.545425633
9125,9163,9186,9211,,,149364.117360829,0,149364.117360829
9125,9163,9186,9212,,,50079.5356477959,0,50079.5356477959
9125,9163,9186,0,,,12395.2062040393,12395.2062040393,12395.2062040393
9125,9163,9196,31015,,,19949.549788765,0,19949.549788765
9125,9163,9196,31815,,,54646.61212749,0,54646.61212749
9125,9163,9196,33815,,,10192.7421335421,0,10192.7421335421
9125,9163,9196,0,,,3546.46293033695,3546.46293033695,3546.46293033695
9125,9163,9197,9215,,,291123.565719425,0,291123.565719425
9125,9163,9197,9220,,,26369.0956321548,0,26369.0956321548
9125,9163,9197,9221,,,16199.4244832292,0,16199.4244832292
9125,9163,9197,9222,,,74057.0100202375,0,74057.0100202375
9125,9163,9197,0,,,367.401681801343,367.401681801343,367.401681801343
9125,9163,9198,9215,,,479225.704986088,0,479225.704986088
9125,9163,9198,9220,,,43406.8207873761,0,43406.8207873761
9125,9163,9198,9221,,,26666.2734744954,0,26666.2734744954
9125,9163,9198,9222,,,108726.083291384,0,108726.083291384
9125,9163,9198,0,,,0,0,0
9125,9163,9200,9216,,,3376.02800239878,0,3376.02800239878
9125,9163,9200,0,,,541.468837354232,541.468837354232,541.468837354232
9125,9163,9201,9217,,,144391.769792362,0,144391.769792362
9125,9163,9201,9220,,,11202.6688392261,0,11202.6688392261
9125,9163,9201,9221,,,6882.17716690946,0,6882.17716690946
9125,9163,9201,0,,,32.3438670613829,32.3438670613829,32.3438670613829
9125,9163,9202,9213,,,473021.0234317,0,473021.0234317
9125,9163,9202,9218,,,272393.595913382,0,272393.595913382
9125,9163,9202,9220,,,42241.2972112337,0,42241.2972112337
9125,9163,9202,9221,,,25950.2530459405,0,25950.2530459405
9125,9163,9202,0,,,242.211260120898,242.211260120898,242.211260120898
9125,9163,9203,0,,,0,0,0
9125,9163,9204,0,,,3128.96993111474,3128.96993111474,3128.96993111474
9125,9163,9205,0,,,0,0,0
9125,9163,9211,9197,,,29170.6055753733,0,29170.6055753733
9125,9163,9211,9198,,,47033.1006543138,0,47033.1006543138
9125,9163,9211,9200,,,2170.29871121974,0,2170.29871121974
9125,9163,9211,9211,,,56072.385353893,0,56072.385353893
9125,9163,9211,9212,,,18800.2250527385,0,18800.2250527385
9125,9163,9211,34831,,,732023.734335988,0,732023.734335988
9125,9163,9211,34952,,,4271.17926053257,0,4271.17926053257
9125,9163,9211,0,,,14251.4518304451,14251.4518304451,14251.4518304451
9125,9163,9212,34831,,,302435.09875532,0,302435.09875532
9125,9163,9212,0,,,593.05552073904,593.05552073904,593.05552073904
9125,9196,25015,0,,,6599.29852477947,6599.29852477947,6599.29852477947
9125,9196,25415,0,,,4800.58338563355,4800.58338563355,4800.58338563355
9125,9196,26015,34816,,,3115.24882186202,0,3115.24882186202
9125,9196,26015,0,,,11778.5135172939,11778.5135172939,11778.5135172939
9125,9196,28015,0,,,5360.91745592846,5360.91745592846,5360.91745592846
9125,9196,30815,34841,,,2015.85000708685,0,2015.85000708685
9125,9196,30815,0,,,8427.75449466784,8427.75449466784,8427.75449466784
9125,9196,31015,28015,,,2931.02573112685,0,2931.02573112685
9125,9196,31015,28016,,,2089.73708542398,0,2089.73708542398
9125,9196,31015,30615,,,6988.64960305554,0,6988.64960305554
9125,9196,31015,30616,,,3038.11095950759,0,3038.11095950759
9125,9196,31015,30656,,,4716.74349736462,0,4716.74349736462
9125,9196,31015,30685,,,5028.8323313172,0,5028.8323313172
9125,9196,31015,30735,,,2314.74221002193,0,2314.74221002193
9125,9196,31015,30815,,,6337.41110805662,0,6337.41110805662
9125,9196,31015,30816,,,10386.4884261414,0,10386.4884261414
9125,9196,31015,30935,,,1996.01761766472,0,1996.01761766472
9125,9196,31015,31015,,,1077037.11017215,0,1077037.11017215
9125,9196,31015,31016,,,646772.540895443,0,646772.540895443
9125,9196,31015,31017,,,81610.1480960336,0,81610.1480960336
9125,9196,31015,31022,,,29375.4860138767,0,29375.4860138767
9125,9196,31015,31023,,,4020.68001652671,0,4020.68001652671
9125,9196,31015,31050,,,15688.1006811253,0,15688.1006811253
9125,9196,31015,31056,,,51665.8053146712,0,51665.8053146712
9125,9196,31015,31057,,,3801.33795851089,0,3801.33795851089
9125,9196,31015,31077,,,2162.8736127151,0,2162.8736127151
9125,9196,31015,31078,,,2323.07983300101,0,2323.07983300101
9125,9196,31015,31080,,,10199.6382943103,0,10199.6382943103
9125,9196,31015,31083,,,7884.06072634724,0,7884.06072634724
9125,9196,31015,31084,,,1969.68956727886,0,1969.68956727886
9125,9196,31015,31085,,,115714.122681967,0,115714.122681967
9125,9196,31015,31110,,,3517.17461938131,0,3517.17461938131
9125,9196,31015,31128,,,3107.26244891409,0,3107.26244891409
9125,9196,31015,31129,,,5093.28444901649,0,5093.28444901649
9125,9196,31015,31131,,,108072.821703334,0,108072.821703334
9125,9196,31015,31132,,,24081.0185655739,0,24081.0185655739
9125,9196,31015,31133,,,14019.3422603964,0,14019.3422603964
9125,9196,31015,31134,,,2178.1527285132,0,2178.1527285132
9125,9196,31015,31135,,,16046.5642606367,0,16046.5642606367
