L0,L1,L2,L3,L4,L5,value,rest,fd
15755,,,,,,6243348,0,0
15755,15793,,,,,1683141.59132055,0,0
15755,15826,,,,,4560206.40867945,0,0
15755,0,,,,,0,0,0
15755,15793,15793,,,,14653.0965654697,0,0
15755,15793,15803,,,,650681.586171098,0,0
15755,15793,15816,,,,433797.124965036,0,0
15755,15793,15826,,,,39700.2517253628,0,0
15755,15793,15827,,,,98184.478895433,0,0
15755,15793,15828,,,,94649.3785122473,0,0
15755,15793,15830,,,,805.590124381185,0,0
15755,15793,15832,,,,106136.159433772,0,0
15755,15793,15841,,,,105421.668371327,0,0
15755,15793,15842,,,,8091.37881468654,0,0
15755,15793,33778,,,,2549.23536370969,0,0
15755,15793,33788,,,,1595.04893897924,0,0
15755,15793,33793,,,,1430.0990486552,0,0
15755,15793,33794,,,,1448.38960143181,0,0
15755,15793,33800,,,,822.968764022173,0,0
15755,15793,33814,,,,9906.74701166046,0,0
15755,15793,33815,,,,5644.0503121537,0,0
15755,15793,33816,,,,6815.42256542322,0,0
15755,15793,33817,,,,4240.11517991557,0,0
15755,15793,33818,,,,5859.56782664155,0,0
15755,15793,33822,,,,2131.21296411655,0,0
15755,15793,33823,,,,4393.29796660315,0,0
15755,15793,33827,,,,2049.38118045859,0,0
15755,15793,33832,,,,1778.11746940259,0,0
15755,15793,33845,,,,1908.92354795152,0,0
15755,15793,33849,,,,1730.67875098762,0,0
15755,15793,33850,,,,23938.810221594,0,0
15755,15793,33852,,,,826.407220605715,0,0
15755,15793,33855,,,,864.426955891805,0,0
15755,15793,33856,,,,2779.62601614741,0,0
15755,15793,33857,,,,1610.77023400106,0,0
15755,15793,33861,,,,1008.1444423389,0,0
15755,15793,33864,,,,1230.00414035374,0,0
15755,15793,33868,,,,912.894209986094,0,0
15755,15793,33877,,,,2398.67339904201,0,0
15755,15793,33878,,,,2934.28054884063,0,0
15755,15793,33882,,,,4238.66295243893,0,0
15755,15793,33883,,,,3141.02602008632,0,0
15755,15793,33885,,,,7954.913513935,0,0
15755,15793,33886,,,,1451.9232198255,0,0
15755,15793,33907,,,,1001.99685619221,0,0
15755,15793,33910,,,,5968.12104068116,0,0
15755,15793,34952,,,,990.546314431542,0,990.546314431542
15755,15793,0,,,,13466.3939432405,13466.3939432405,0
15755,15826,26015,,,,4283.51360555886,0,0
15755,15826,28015,,,,5908.27836969196,0,0
15755,15826,31015,,,,41299.3052683551,0,0
15755,15826,31815,,,,14271.775547983,0,0
15755,15826,33015,,,,42278.7145711975,0,0
15755,15826,33415,,,,45160.8869387932,0,0
15755,15826,33815,,,,4389734.7886205,0,0
15755,15826,34415,,,,637.247885810249,0,0
15755,15826,34952,,,,13059.0813418515,0,13059.0813418515
15755,15826,0,,,,3572.81652970272,3572.81652970272,0
15755,15793,15793,15803,,,5664.70471926105,0,0
15755,15793,15793,15816,,,3776.55165478304,0,0
15755,15793,15793,15827,,,854.774582188493,0,0
15755,15793,15793,15828,,,823.99870002233,0,0
15755,15793,15793,15832,,,924.000334428761,0,0
15755,15793,15793,15841,,,917.780117076188,0,0
15755,15793,15793,0,,,1691.28645770988,1691.28645770988,0
15755,15793,15803,33850,,,10413.0199716399,0,0
15755,15793,15803,34882,,,639762.446565982,0,639762.446565982
15755,15793,15803,0,,,506.119633475518,506.119633475518,0
15755,15793,15816,15827,,,102880.708784275,0,0
15755,15793,15816,15828,,,99176.5221639736,0,0
15755,15793,15816,15830,,,844.122043711366,0,0
15755,15793,15816,15832,,,111212.723569236,0,0
15755,15793,15816,15841,,,110464.057917075,0,0
15755,15793,15816,15842,,,8478.39492414658,0,0
15755,15793,15816,0,,,740.595562619421,740.595562619421,0
15755,15793,15826,33815,,,38216.1596422743,0,0
15755,15793,15826,0,,,1484.09208308847,1484.09208308847,0
15755,15793,15827,15845,,,77233.8571658077,0,0
15755,15793,15827,15850,,,3967.31845657984,0,0
15755,15793,15827,15851,,,2435.87244323722,0,0
15755,15793,15827,15852,,,13856.1506626281,0,0
15755,15793,15827,0,,,691.280167180128,691.280167180128,0
15755,15793,15828,15845,,,77453.1616693255,0,0
15755,15793,15828,15850,,,3978.5836042281,0,0
15755,15793,15828,15851,,,2442.78907043156,0,0
15755,15793,15828,15852,,,10778.5198544415,0,0
15755,15793,15828,0,,,-3.67568617940825,-3.67568617940825,0
15755,15793,15830,15846,,,629.902429827304,0,0
15755,15793,15830,0,,,175.687694553881,175.687694553881,0
15755,15793,15832,15843,,,21944.8400584022,0,0
15755,15793,15832,15848,,,72752.5920544101,0,0
15755,15793,15832,15850,,,6847.69152621234,0,0
15755,15793,15832,15851,,,4204.37715576513,0,0
15755,15793,15832,0,,,386.658638982172,386.658638982172,0
15755,15793,15841,15827,,,1757.14417575752,0,0
15755,15793,15841,15828,,,1693.87876844555,0,0
15755,15793,15841,15841,,,1637.62031100572,0,0
15755,15793,15841,34882,,,99526.7048400128,0,99526.7048400128
15755,15793,15841,0,,,806.320276105588,806.320276105588,0
15755,15793,15842,34882,,,8090.34317360115,0,8090.34317360115
15755,15793,15842,0,,,1.03564108538946,1.03564108538946,0
15755,15793,33778,34953,,,1462.52723326929,0,1462.52723326929
15755,15793,33778,0,,,1086.7081304404,1086.7081304404,0
15755,15793,33788,0,,,1595.04893897924,1595.04893897924,0
15755,15793,33793,31064,,,790.161592301614,0,0
15755,15793,33793,0,,,639.937456353584,639.937456353584,0
15755,15793,33794,0,,,1448.38960143181,1448.38960143181,0
15755,15793,33800,0,,,822.968764022174,822.968764022174,0
15755,15793,33814,34953,,,7143.91472324399,0,7143.91472324399
15755,15793,33814,0,,,2762.83228841648,2762.83228841648,0
15755,15793,33815,34953,,,1511.89671794182,0,1511.89671794182
15755,15793,33815,0,,,4132.15359421188,4132.15359421188,0
15755,15793,33816,34953,,,4351.40603697154,0,4351.40603697154
15755,15793,33816,0,,,2464.01652845168,2464.01652845168,0
15755,15793,33817,34953,,,2654.69458608784,0,2654.69458608784
15755,15793,33817,0,,,1585.42059382773,1585.42059382773,0
15755,15793,33818,33910,,,1125.65803817068,0,0
15755,15793,33818,34953,,,1161.29444428813,0,1161.29444428813
15755,15793,33818,0,,,3572.61534418274,3572.61534418274,0
15755,15793,33822,0,,,2131.21296411655,2131.21296411655,0
15755,15793,33823,34953,,,1697.17890586863,0,1697.17890586863
15755,15793,33823,0,,,2696.11906073452,2696.11906073452,0
15755,15793,33827,34953,,,945.504213975202,0,945.504213975202
15755,15793,33827,0,,,1103.87696648338,1103.87696648338,0
15755,15793,33832,0,,,1778.11746940259,1778.11746940259,0
15755,15793,33845,31046,,,891.521084352179,0,0
15755,15793,33845,0,,,1017.40246359934,1017.40246359934,0
15755,15793,33849,33764,,,629.086246873986,0,0
15755,15793,33849,0,,,1101.59250411364,1101.59250411364,0
15755,15793,33850,30935,,,669.447617627964,0,0
15755,15793,33850,31050,,,1383.29194211818,0,0
15755,15793,33850,31135,,,1082.96154944649,0,0
15755,15793,33850,31450,,,681.573670324582,0,0
15755,15793,33850,31850,,,864.268599448297,0,0
15755,15793,33850,34816,,,860.472336123973,0,860.472336123973
15755,15793,33850,34934,,,1152.84371900482,0,1152.84371900482
15755,15793,33850,34954,,,689.694312587193,0,689.694312587193
15755,15793,33850,0,,,16554.2564749125,16554.2564749125,0
15755,15793,33852,0,,,826.407220605716,826.407220605716,0
15755,15793,33855,0,,,864.426955891805,864.426955891805,0
15755,15793,33856,0,,,2779.62601614741,2779.62601614741,0
15755,15793,33857,0,,,1610.77023400107,1610.77023400107,0
15755,15793,33861,0,,,1008.1444423389,1008.1444423389,0
15755,15793,33864,0,,,1230.00414035374,1230.00414035374,0
15755,15793,33868,0,,,912.894209986095,912.894209986095,0
15755,15793,33877,0,,,2398.67339904201,2398.67339904201,0
15755,15793,33878,34953,,,1359.90884140453,0,1359.90884140453
15755,15793,33878,0,,,1574.37170743609,1574.37170743609,0
15755,15793,33882,34953,,,1504.78931477457,0,1504.78931477457
15755,15793,33882,0,,,2733.87363766436,2733.87363766436,0
15755,15793,33883,34953,,,1650.6153858182,0,1650.6153858182
15755,15793,33883,0,,,1490.41063426812,1490.41063426812,0
15755,15793,33885,34953,,,5340.79604915178,0,5340.79604915178
15755,15793,33885,0,,,2614.11746478322,2614.11746478322,0
15755,15793,33886,0,,,1451.9232198255,1451.9232198255,0
15755,15793,33907,34953,,,740.573465048385,0,740.573465048385
15755,15793,33907,0,,,261.423391143823,261.423391143823,0
15755,15793,33910,34953,,,5119.76848829734,0,5119.76848829734
15755,15793,33910,0,,,848.352552383818,848.352552383818,0
15755,15826,26015,34816,,,895.959691666699,0,895.959691666699
15755,15826,26015,0,,,3387.55391389216,3387.55391389216,0
15755,15826,28015,28015,,,1051.05264688156,0,0
15755,15826,28015,28016,,,977.438726832141,0,0
15755,15826,28015,34837,,,1546.00387525226,0,1546.00387525226
15755,15826,28015,0,,,2333.78312072599,2333.78312072599,0
15755,15826,31015,31015,,,16319.1037636519,0,0
15755,15826,31015,31016,,,9799.79993880287,0,0
15755,15826,31015,31017,,,1236.54464861781,0,0
15755,15826,31015,31056,,,782.832485528736,0,0
15755,15826,31015,31085,,,1753.28292510286,0,0
15755,15826,31015,31131,,,1637.50308578082,0,0
15755,15826,31015,34953,,,719.38102113481,0,719.38102113481
