L0,L1,L2,L3,L4,L5,value,rest,fd
22515,,,,,,7625804,0,0
22515,22553,,,,,4369175.80603766,0,0
22515,22586,,,,,3256628.19396234,0,0
22515,0,,,,,0,0,0
22515,22553,2166,,,,177.958012543536,0,0
22515,22553,3843,,,,90.0685561069914,0,90.0685561069914
22515,22553,3856,,,,297.471876669727,0,297.471876669727
22515,22553,3973,,,,741.774601197606,0,741.774601197606
22515,22553,3986,,,,2719.92603625831,0,2719.92603625831
22515,22553,3997,,,,121.64453968999,0,121.64453968999
22515,22553,4001,,,,268.577412492594,0,268.577412492594
22515,22553,4116,,,,107.12653405195,0,107.12653405195
22515,22553,5026,,,,132.111770381048,0,132.111770381048
22515,22553,9836,,,,84.9460189292338,0,84.9460189292338
22515,22553,9953,,,,1106.98004670562,0,1106.98004670562
22515,22553,9966,,,,3378.69562081454,0,3378.69562081454
22515,22553,10473,,,,124.57538605772,0,0
22515,22553,10486,,,,341.773998085073,0,0
22515,22553,10497,,,,345.718390810144,0,0
22515,22553,10501,,,,659.241578567609,0,0
22515,22553,10502,,,,459.377818773104,0,0
22515,22553,10511,,,,432.350163893651,0,0
22515,22553,10746,,,,90.7947641442449,0,0
22515,22553,11253,,,,5673.06096134121,0,0
22515,22553,11266,,,,17138.6049281736,0,0
22515,22553,11773,,,,79.4054809655063,0,0
22515,22553,11786,,,,198.376796412101,0,0
22515,22553,12673,,,,150.513271526945,0,0
22515,22553,12683,,,,1222.15762003715,0,0
22515,22553,12696,,,,3437.21997870497,0,0
22515,22553,13063,,,,107.261798853374,0,0
22515,22553,13073,,,,183.53150774048,0,0
22515,22553,13086,,,,527.425941798756,0,0
22515,22553,13583,,,,1048.28973118752,0,0
22515,22553,13593,,,,22586.7090051645,0,0
22515,22553,13606,,,,72607.746165187,0,0
22515,22553,13616,,,,643.949406300904,0,0
22515,22553,14256,,,,180.505871851918,0,0
22515,22553,15533,,,,186.044488688908,0,0
22515,22553,15543,,,,400.382811267052,0,0
22515,22553,15556,,,,1123.83313231511,0,0
22515,22553,15566,,,,107.333358858985,0,0
22515,22553,16856,,,,218.604179040058,0,0
22515,22553,18793,,,,7932.5323964898,0,0
22515,22553,18806,,,,29746.3894672166,0,0
22515,22553,19833,,,,369.147862920621,0,0
22515,22553,19846,,,,1145.04461146577,0,0
22515,22553,19861,,,,89.7512137540367,0,0
22515,22553,20901,,,,91.745226124681,0,0
22515,22553,21783,,,,126.699155550069,0,0
22515,22553,21796,,,,316.747888875173,0,0
22515,22553,22553,,,,99969.7154295568,0,0
22515,22553,22563,,,,504002.114863426,0,0
22515,22553,22576,,,,1474607.92679172,0,0
22515,22553,22586,,,,74513.8690369012,0,0
22515,22553,22587,,,,738944.581364821,0,0
22515,22553,22589,,,,819.489247910091,0,0
22515,22553,22591,,,,374825.691615359,0,0
22515,22553,22592,,,,452102.256903092,0,0
22515,22553,22593,,,,111300.820698174,0,0
22515,22553,22594,,,,338.788839588589,0,0
22515,22553,22601,,,,281986.074429159,0,0
22515,22553,22602,,,,2622.62214954846,0,0
22515,22553,24656,,,,134.375815336226,0,0
22515,22553,31178,,,,572.510554001816,0,0
22515,22553,31250,,,,10093.6459067091,0,0
22515,22553,32014,,,,1745.59382277191,0,0
22515,22553,32015,,,,10056.7461688681,0,0
22515,22553,32016,,,,2639.36720795067,0,0
22515,22553,32046,,,,380.926692918164,0,0
22515,22553,32050,,,,2292.19791231875,0,0
22515,22553,32056,,,,97.8340477464227,0,0
22515,22553,32057,,,,137.606207478425,0,0
22515,22553,32064,,,,1121.12004922567,0,0
22515,22553,32068,,,,154.859430391501,0,0
22515,22553,32077,,,,109.461167572317,0,0
22515,22553,32078,,,,103.457007605147,0,0
22515,22553,32083,,,,228.719313629352,0,0
22515,22553,32085,,,,107.604335113676,0,0
22515,22553,32086,,,,157.583468314569,0,0
22515,22553,32088,,,,276.748830367542,0,0
22515,22553,32089,,,,288.933525005227,0,0
22515,22553,32090,,,,108.573788418155,0,0
22515,22553,32091,,,,124.45347997808,0,0
22515,22553,32100,,,,127.891384851734,0,0
22515,22553,32101,,,,752.638242323839,0,0
22515,22553,32110,,,,8828.12048126398,0,0
22515,22553,34588,,,,169.906534344794,0,0
22515,22553,34614,,,,80.8634058086004,0,0
22515,22553,34618,,,,195.012535528446,0,0
22515,22553,34622,,,,128.503354010755,0,0
22515,22553,34623,,,,108.089528125225,0,0
22515,22553,34627,,,,146.275673803461,0,0
22515,22553,34630,,,,88.823498359946,0,0
22515,22553,34632,,,,122.735362010814,0,0
22515,22553,34633,,,,183.273855560017,0,0
22515,22553,34649,,,,123.150854612638,0,0
22515,22553,34650,,,,6418.30691403355,0,0
22515,22553,34657,,,,115.124514010871,0,0
22515,22553,34659,,,,78.4414305411069,0,0
22515,22553,34661,,,,165.257492775558,0,0
22515,22553,34663,,,,188.212897760018,0,0
22515,22553,34677,,,,151.657832202036,0,0
22515,22553,34678,,,,172.57036898013,0,0
22515,22553,34679,,,,143.65764827956,0,0
22515,22553,34682,,,,318.847801506394,0,0
22515,22553,34685,,,,173.772578076676,0,0
22515,22553,34693,,,,90.0849850171829,0,0
22515,22553,34707,,,,204.387022442431,0,0
22515,22553,34710,,,,154.212433692082,0,0
22515,22553,34880,,,,168.607958360858,0,168.607958360858
22515,22553,34934,,,,9146.21139325115,0,9146.21139325115
22515,22553,34952,,,,10032.1196896744,0,10032.1196896744
22515,22553,0,,,,4112.65088148547,4112.65088148547,0
22515,22586,25015,,,,166.509449613379,0,0
22515,22586,25215,,,,1381.19015541929,0,0
22515,22586,26015,,,,3594.08075349798,0,0
22515,22586,26215,,,,103.42987794184,0,0
22515,22586,26615,,,,121.581722627215,0,0
22515,22586,28015,,,,2523.40460008418,0,0
22515,22586,29015,,,,798.693792252787,0,0
22515,22586,29415,,,,269.853702564553,0,0
22515,22586,30615,,,,64704.6660707002,0,0
22515,22586,30815,,,,34996.6715174894,0,0
22515,22586,31015,,,,1292378.68375184,0,0
22515,22586,31215,,,,504.306371700907,0,0
22515,22586,31415,,,,107800.661963576,0,0
22515,22586,31615,,,,2851.77678763583,0,0
22515,22586,31815,,,,26949.4832501126,0,0
22515,22586,32015,,,,193568.1114764,0,0
22515,22586,32615,,,,163.208005508842,0,0
22515,22586,32815,,,,539702.107109808,0,0
22515,22586,33015,,,,96909.3488122927,0,0
22515,22586,33415,,,,170282.393473215,0,0
22515,22586,33815,,,,561754.501787654,0,0
22515,22586,34015,,,,96785.2988065007,0,0
22515,22586,34215,,,,238.720788117292,0,0
22515,22586,34415,,,,24629.5327670011,0,0
22515,22586,34615,,,,10712.8965307056,0,0
22515,22586,34865,,,,9999.94671770883,0,9999.94671770883
22515,22586,34952,,,,12534.0434650462,0,12534.0434650462
22515,22586,0,,,,203.09045532943,203.09045532943,0
22515,22553,2166,2182,,,76.6763693244372,0,0
22515,22553,2166,0,,,101.281643219099,101.281643219099,0
22515,22553,3843,0,,,90.0685561069914,90.0685561069914,90.0685561069914
22515,22553,3856,3871,,,132.929193253275,0,132.929193253275
22515,22553,3856,3872,,,95.5389127164014,0,95.5389127164014
22515,22553,3856,0,,,69.0037707000512,69.0037707000512,69.0037707000512
22515,22553,3973,31050,,,160.483476028966,0,160.483476028966
22515,22553,3973,34791,,,366.85991003026,0,366.85991003026
22515,22553,3973,0,,,214.43121513838,214.43121513838,214.43121513838
22515,22553,3986,3997,,,259.774561445911,0,259.774561445911
22515,22553,3986,4001,,,573.552908518115,0,573.552908518115
22515,22553,3986,4002,,,118.913498272665,0,118.913498272665
22515,22553,3986,31050,,,681.701710516642,0,681.701710516642
22515,22553,3986,31059,,,82.6728309479701,0,82.6728309479701
22515,22553,3986,31078,,,115.201710532808,0,115.201710532808
22515,22553,3986,31080,,,99.5960557634799,0,99.5960557634799
22515,22553,3986,31081,,,115.366546400649,0,115.366546400649
22515,22553,3986,0,,,673.146213860076,673.146213860076,673.146213860076
22515,22553,3997,4015,,,86.3623107717421,0,86.3623107717421
22515,22553,3997,0,,,35.2822289182479,35.2822289182479,35.2822289182479
22515,22553,4001,4017,,,244.943797265406,0,244.943797265406
22515,22553,4001,0,,,23.6336152271874,23.6336152271874,23.6336152271874
22515,22553,4116,0,,,107.12653405195,107.12653405195,107.12653405195
22515,22553,5026,0,,,132.111770381048,132.111770381048,132.111770381048
22515,22553,9836,0,,,84.9460189292338,84.9460189292338,84.9460189292338
22515,22553,9953,28017,,,466.021832703494,0,466.021832703494
22515,22553,9953,28046,,,228.92039586005,0,228.92039586005
22515,22553,9953,28050,,,208.549453888462,0,208.549453888462
22515,22553,9953,0,,,203.488364253609,203.488364253609,203.488364253609
22515,22553,9966,9977,,,621.956643639043,0,621.956643639043
22515,22553,9966,9981,,,1452.53078297421,0,1452.53078297421
22515,22553,9966,9982,,,690.592992174891,0,690.592992174891
22515,22553,9966,9983,,,82.271377515537,0,82.271377515537
22515,22553,9966,9988,,,153.508910485561,0,153.508910485561
22515,22553,9966,9991,,,355.46198953544,0,355.46198953544
22515,22553,9966,0,,,22.3729244898548,22.3729244898548,22.3729244898548
22515,22553,10473,34841,,,109.735604802322,0,109.735604802322
22515,22553,10473,0,,,14.8397812553976,14.8397812553976,0
22515,22553,10486,10501,,,118.347713949785,0,0
22515,22553,10486,10502,,,82.4679699498956,0,0
22515,22553,10486,10511,,,77.6159380508199,0,0
22515,22553,10486,0,,,63.3423761345729,63.3423761345729,0
22515,22553,10497,10515,,,231.499208260672,0,0
22515,22553,10497,0,,,114.219182549471,114.219182549471,0
22515,22553,10501,10517,,,560.778130049904,0,0
22515,22553,10501,0,,,98.4634485177055,98.4634485177055,0
22515,22553,10502,10513,,,273.422928258621,0,0
22515,22553,10502,10518,,,158.180914503183,0,0
22515,22553,10502,0,,,27.7739760113001,27.7739760113001,0
22515,22553,10511,34841,,,402.969532735941,0,402.969532735941
22515,22553,10511,0,,,29.3806311577095,29.3806311577095,0
22515,22553,10746,0,,,90.7947641442449,90.7947641442449,0
22515,22553,11253,34847,,,5673.06096134121,0,5673.06096134121
22515,22553,11253,0,,,0,0,0
22515,22553,11266,11277,,,5755.03885714873,0,0
22515,22553,11266,11281,,,6226.91256752129,0,0
22515,22553,11266,11282,,,2129.38887058326,0,0
22515,22553,11266,11290,,,1356.88276534821,0,0
22515,22553,11266,11291,,,1582.00901963028,0,0
22515,22553,11266,0,,,88.3728479418228,88.3728479418228,0
22515,22553,11773,0,,,79.4054809655063,79.4054809655063,0
22515,22553,11786,11797,,,86.3037780784535,0,0
22515,22553,11786,0,,,112.073018333648,112.073018333648,0
22515,22553,12673,12696,,,95.8152576698998,0,0
22515,22553,12673,0,,,54.6980138570449,54.6980138570449,0
22515,22553,12683,34858,,,1222.15762003715,0,1222.15762003715
22515,22553,12683,0,,,0,0,0
22515,22553,12696,12707,,,521.00898893776,0,0
22515,22553,12696,12711,,,1197.24890840941,0,0
22515,22553,12696,12712,,,188.366428407446,0,0
22515,22553,12696,12721,,,120.560250534429,0,0
22515,22553,12696,19727,,,354.233482327001,0,0
22515,22553,12696,19731,,,82.0543688640252,0,0
22515,22553,12696,19732,,,397.765599211034,0,0
22515,22553,12696,19741,,,110.492257484696,0,0
22515,22553,12696,34952,,,308.273601625094,0,308.273601625094
22515,22553,12696,0,,,157.216092904079,157.216092904079,0
22515,22553,13063,0,,,107.261798853374,107.261798853374,0
22515,22553,13073,34861,,,183.53150774048,0,183.53150774048
22515,22553,13073,0,,,0,0,0
22515,22553,13086,13097,,,265.655401148363,0,0
22515,22553,13086,13102,,,78.2187437955897,0,0
22515,22553,13086,0,,,183.551796854803,183.551796854803,0
22515,22553,13583,13593,,,184.949458872397,0,0
22515,22553,13583,13606,,,594.542718026125,0,0
22515,22553,13583,32015,,,82.3488610724085,0,0
22515,22553,13583,0,,,186.448693216587,186.448693216587,0
22515,22553,13593,32050,,,4748.99697040048,0,0
22515,22553,13593,34865,,,15551.8160391382,0,15551.8160391382
22515,22553,13593,34952,,,2112.81588641787,0,2112.81588641787
22515,22553,13593,0,,,173.080109208007,173.080109208007,0
22515,22553,13606,13617,,,12973.8791295105,0,0
22515,22553,13606,13621,,,17380.7734503044,0,0
22515,22553,13606,13622,,,21966.8379304405,0,0
22515,22553,13606,13623,,,8787.30509452803,0,0
22515,22553,13606,13625,,,2724.94939290666,0,0
22515,22553,13606,13631,,,8613.69585375372,0,0
22515,22553,13606,0,,,160.305313743152,160.305313743152,0
22515,22553,13616,31015,,,104.271319935341,0,0
22515,22553,13616,32015,,,446.11532332832,0,0
22515,22553,13616,0,,,93.5627630372419,93.5627630372419,0
22515,22553,14256,14267,,,132.123243278524,0,0
22515,22553,14256,0,,,48.3826285733939,48.3826285733939,0
22515,22553,15533,15556,,,94.6289926137457,0,0
22515,22553,15533,0,,,91.4154960751617,91.4154960751617,0
22515,22553,15543,34880,,,400.382811267052,0,400.382811267052
22515,22553,15543,0,,,0,0,0
22515,22553,15556,15567,,,377.847965199831,0,0
22515,22553,15556,15571,,,401.122117171175,0,0
22515,22553,15556,15572,,,290.823648387203,0,0
22515,22553,15556,0,,,54.0394015568969,54.0394015568969,0
22515,22553,15566,34415,,,87.005078182244,0,0
22515,22553,15566,0,,,20.3282806767413,20.3282806767413,0
22515,22553,16856,16871,,,104.157601791652,0,0
22515,22553,16856,0,,,114.446577248405,114.446577248405,0
22515,22553,18793,34905,,,7737.75860165442,0,7737.75860165442
22515,22553,18793,34952,,,193.845009217397,0,193.845009217397
22515,22553,18793,0,,,0.928785617984778,0.928785617984778,0
22515,22553,18806,18817,,,3386.19800529215,0,0
22515,22553,18806,18819,,,2022.4377031433,0,0
22515,22553,18806,18820,,,595.595270087048,0,0
22515,22553,18806,18822,,,16635.116830239,0,0
22515,22553,18806,18823,,,269.866907642984,0,0
22515,22553,18806,18826,,,2287.34284247145,0,0
22515,22553,18806,18831,,,4534.34016891793,0,0
22515,22553,18806,0,,,15.4917394226681,15.4917394226681,0
22515,22553,19833,34913,,,322.041222973982,0,322.041222973982
22515,22553,19833,0,,,47.1066399466391,47.1066399466391,0
22515,22553,19846,19857,,,97.6612990816703,0,0
22515,22553,19846,19861,,,772.192514627519,0,0
22515,22553,19846,19862,,,186.721442030084,0,0
22515,22553,19846,0,,,88.4693557264943,88.4693557264943,0
22515,22553,19861,0,,,89.7512137540366,89.7512137540366,0
22515,22553,20901,20917,,,81.3308202728808,0,0
22515,22553,20901,0,,,10.4144058518003,10.4144058518003,0
22515,22553,21783,34928,,,116.604372547764,0,116.604372547764
22515,22553,21783,0,,,10.0947830023051,10.0947830023051,0
22515,22553,21796,21807,,,108.339976067352,0,0
22515,22553,21796,21812,,,100.553624607744,0,0
22515,22553,21796,21821,,,93.7306268045298,0,0
22515,22553,21796,0,,,14.1236613955471,14.1236613955471,0
22515,22553,22553,9966,,,77.3068548235498,0,77.3068548235498
22515,22553,22553,11253,,,129.803495006106,0,0
22515,22553,22553,11266,,,392.1429426487,0,0
22515,22553,22553,12696,,,78.6459319547376,0,0
22515,22553,22553,13593,,,516.799271069901,0,0
22515,22553,22553,13606,,,1661.31463789688,0,0
22515,22553,22553,18793,,,181.5017388902,0,0
22515,22553,22553,18806,,,680.617631816296,0,0
22515,22553,22553,22553,,,2287.37511300328,0,0
22515,22553,22553,22563,,,11531.9113342077,0,0
22515,22553,22553,22576,,,33740.0327557948,0,0
22515,22553,22553,22586,,,1704.92802621504,0,0
22515,22553,22553,22587,,,16907.5548333789,0,0
22515,22553,22553,22591,,,8576.2668727346,0,0
22515,22553,22553,22592,,,10344.4072690338,0,0
22515,22553,22553,22593,,,2546.63851175247,0,0
22515,22553,22553,22601,,,6452.03325918488,0,0
22515,22553,22553,31250,,,230.949486524673,0,0
22515,22553,22553,32015,,,230.105195414599,0,0
22515,22553,22553,32110,,,201.993403669002,0,0
22515,22553,22553,34650,,,146.855229503201,0,0
22515,22553,22553,34934,,,209.2715401789,0,209.2715401789
22515,22553,22553,34952,,,229.541724813661,0,229.541724813661
22515,22553,22553,0,,,911.718370040937,911.718370040937,0
22515,22553,22563,25415,,,159.511136576516,0,0
22515,22553,22563,25417,,,97.4063652745133,0,0
22515,22553,22563,25450,,,583.772375385593,0,0
22515,22553,22563,25478,,,159.732466836798,0,0
22515,22553,22563,25509,,,80.7240622967743,0,0
22515,22553,22563,25510,,,160.438743322586,0,0
22515,22553,22563,27217,,,190.654930847888,0,0
22515,22553,22563,29650,,,215.511661198913,0,0
22515,22553,22563,31250,,,3062.30285719825,0,0
22515,22553,22563,31256,,,99.6257066247009,0,0
22515,22553,22563,31289,,,125.169608199617,0,0
22515,22553,22563,31307,,,300.615172426583,0,0
22515,22553,22563,32050,,,7526.12950042176,0,0
22515,22553,22563,33049,,,317.06037349042,0,0
22515,22553,22563,33050,,,672.564814567422,0,0
22515,22553,22563,33850,,,7623.42914369238,0,0
22515,22553,22563,34450,,,77.5585285307609,0,0
22515,22553,22563,34588,,,199.989291571762,0,0
22515,22553,22563,34650,,,340.243631279908,0,0
22515,22553,22563,34685,,,115.99252100304,0,0
22515,22553,22563,34707,,,88.0384442769573,0,0
22515,22553,22563,34776,,,1192.54055429975,0,1192.54055429975
22515,22553,22563,34783,,,222.387358970585,0,222.387358970585
22515,22553,22563,34785,,,12653.9974505259,0,12653.9974505259
22515,22553,22563,34793,,,822.493663643678,0,822.493663643678
22515,22553,22563,34799,,,2025.95807616977,0,2025.95807616977
22515,22553,22563,34805,,,1734.7034479267,0,1734.7034479267
22515,22553,22563,34820,,,150.973657913876,0,150.973657913876
22515,22553,22563,34833,,,2028.74524253732,0,2028.74524253732
22515,22553,22563,34836,,,135.691729316568,0,135.691729316568
22515,22553,22563,34841,,,279.834702060246,0,279.834702060246
22515,22553,22563,34843,,,1537.10623323303,0,1537.10623323303
22515,22553,22563,34844,,,305.124392363063,0,305.124392363063
22515,22553,22563,34848,,,132.162246023257,0,132.162246023257
22515,22553,22563,34852,,,693.076242298686,0,693.076242298686
22515,22553,22563,34858,,,942.9277883258,0,942.9277883258
22515,22553,22563,34861,,,1480.40368485416,0,1480.40368485416
22515,22553,22563,34864,,,151.758118733228,0,151.758118733228
22515,22553,22563,34865,,,24646.2531365692,0,24646.2531365692
22515,22553,22563,34868,,,1465.19950920684,0,1465.19950920684
22515,22553,22563,34870,,,758.998596151659,0,758.998596151659
22515,22553,22563,34877,,,138.24096701176,0,138.24096701176
22515,22553,22563,34882,,,335.851465917965,0,335.851465917965
22515,22553,22563,34895,,,254.188162507346,0,254.188162507346
22515,22553,22563,34896,,,2996.73001346845,0,2996.73001346845
22515,22553,22563,34904,,,100.827751739882,0,100.827751739882
22515,22553,22563,34910,,,551.439029630983,0,551.439029630983
22515,22553,22563,34913,,,189.470282718948,0,189.470282718948
22515,22553,22563,34915,,,32121.5339424574,0,32121.5339424574
22515,22553,22563,34916,,,298.295036170413,0,298.295036170413
22515,22553,22563,34919,,,453.28568351888,0,453.28568351888
22515,22553,22563,34922,,,3858.66367825559,0,3858.66367825559
22515,22553,22563,34925,,,784.858700041464,0,784.858700041464
22515,22553,22563,34928,,,175.921056727398,0,175.921056727398
22515,22553,22563,34930,,,938.699574138188,0,938.699574138188
22515,22553,22563,34934,,,331582.298175859,0,331582.298175859
22515,22553,22563,34935,,,857.472426874866,0,857.472426874866
22515,22553,22563,34937,,,7513.80003855942,0,7513.80003855942
22515,22553,22563,34944,,,92.055615848888,0,92.055615848888
22515,22553,22563,34950,,,395.971949497028,0,395.971949497028
22515,22553,22563,34952,,,47216.8680202929,0,47216.8680202929
22515,22553,22563,0,,,-2411.16387395639,-2411.16387395639,0
22515,22553,22576,1137,,,199.335118164957,0,0
22515,22553,22576,1141,,,531.54906655409,0,0
22515,22553,22576,1142,,,94.6353664685324,0,0
22515,22553,22576,1151,,,117.646001450923,0,0
22515,22553,22576,2182,,,113.819237451593,0,0
22515,22553,22576,3217,,,2385.11855097587,0,0
22515,22553,22576,3221,,,1246.53326168736,0,0
22515,22553,22576,3222,,,425.342597546785,0,0
22515,22553,22576,3231,,,565.200440978884,0,0
22515,22553,22576,5687,,,131.67641551123,0,131.67641551123
22515,22553,22576,5691,,,216.896741103601,0,216.896741103601
22515,22553,22576,5692,,,198.692955181535,0,198.692955181535
22515,22553,22576,5701,,,110.834849330951,0,110.834849330951
22515,22553,22576,11277,,,77.6918179373786,0,0
22515,22553,22576,11281,,,84.0620140916862,0,0
22515,22553,22576,13617,,,23211.6073777397,0,0
22515,22553,22576,13619,,,124.53376819497,0,0
22515,22553,22576,13620,,,99.4125510071212,0,0
22515,22553,22576,13621,,,31095.9956711983,0,0
22515,22553,22576,13622,,,39300.9378522754,0,0
22515,22553,22576,13623,,,15721.3947907569,0,0
22515,22553,22576,13625,,,4875.2154078952,0,0
22515,22553,22576,13631,,,15410.7899597905,0,0
22515,22553,22576,17526,,,446.21431858203,0,0
22515,22553,22576,22587,,,503654.134498047,0,0
22515,22553,22576,22589,,,558.552235573997,0,0
22515,22553,22576,22591,,,255475.869312806,0,0
22515,22553,22576,22592,,,308146.478974886,0,0
22515,22553,22576,22593,,,75861.0590446777,0,0
22515,22553,22576,22594,,,230.913662653068,0,0
22515,22553,22576,22601,,,192197.704454107,0,0
22515,22553,22576,22602,,,1787.54201892456,0,0
22515,22553,22576,34952,,,3802.65305413264,0,3802.65305413264
22515,22553,22576,0,,,-3892.11659596589,-3892.11659596589,0
