L0,L1,L2,L3,L4,L5,value,rest,fd
22515,,,,,,7625804,0,0
22515,22553,,,,,1746738.91517262,0,0
22515,22586,,,,,5879065.08482738,0,0
22515,0,,,,,0,0,0
22515,22553,9953,,,,1004.73974647795,0,1004.73974647795
22515,22553,9966,,,,788.574278211328,0,788.574278211328
22515,22553,11253,,,,5169.50180967168,0,0
22515,22553,11266,,,,3950.30162649795,0,0
22515,22553,12683,,,,1333.80468488122,0,0
22515,22553,13593,,,,23782.2360878949,0,0
22515,22553,13606,,,,14275.2527238235,0,0
22515,22553,18793,,,,10590.5586962477,0,0
22515,22553,18806,,,,4472.97777443771,0,0
22515,22553,22553,,,,15978.1100266075,0,0
22515,22553,22563,,,,403098.316459515,0,0
22515,22553,22576,,,,387923.906298023,0,0
22515,22553,22586,,,,53778.127894789,0,0
22515,22553,22587,,,,295420.30664965,0,0
22515,22553,22591,,,,149850.372476726,0,0
22515,22553,22592,,,,180744.525015159,0,0
22515,22553,22593,,,,44496.6015181849,0,0
22515,22553,22601,,,,104130.636403776,0,0
22515,22553,22602,,,,9652.17023531737,0,0
22515,22553,31250,,,,4035.30663079701,0,0
22515,22553,32015,,,,4020.55460183141,0,0
22515,22553,32016,,,,1055.18423112824,0,0
22515,22553,32050,,,,916.390521340836,0,0
22515,22553,32110,,,,3529.36624137375,0,0
22515,22553,34650,,,,2565.95453100596,0,0
22515,22553,34934,,,,3656.5347965422,0,3656.5347965422
22515,22553,34952,,,,4010.70925994977,0,4010.70925994977
22515,22553,0,,,,12507.8939527625,12507.8939527625,0
22515,22586,25215,,,,2493.40923636515,0,0
22515,22586,26015,,,,6488.25515578165,0,0
22515,22586,28015,,,,4555.40485301689,0,0
22515,22586,29015,,,,1441.85105201973,0,0
22515,22586,30615,,,,116808.834311181,0,0
22515,22586,30815,,,,63178.1392745702,0,0
22515,22586,31015,,,,2333081.3170834,0,0
22515,22586,31215,,,,910.404812996303,0,0
22515,22586,31415,,,,194608.371028144,0,0
22515,22586,31615,,,,5148.20247917588,0,0
22515,22586,31815,,,,48650.8611341062,0,0
22515,22586,32015,,,,349441.034695542,0,0
22515,22586,32815,,,,974303.366899404,0,0
22515,22586,33015,,,,174946.704094737,0,0
22515,22586,33415,,,,307404.227441504,0,0
22515,22586,33815,,,,1014113.70319377,0,0
22515,22586,34015,,,,174722.761410958,0,0
22515,22586,34415,,,,44462.7441396407,0,0
22515,22586,34615,,,,19339.5782999747,0,0
22515,22586,34865,,,,18052.5175416742,0,18052.5175416742
22515,22586,34952,,,,22627.2245151219,0,22627.2245151219
22515,22586,0,,,,2286.17217428978,2286.17217428978,0
22515,22553,9953,0,,,1004.73974647794,1004.73974647794,1004.73974647794
22515,22553,9966,0,,,788.574278211327,788.574278211327,788.574278211327
22515,22553,11253,34847,,,5169.50180967168,0,5169.50180967168
22515,22553,11253,0,,,0,0,0
22515,22553,11266,11277,,,1326.48715885746,0,0
22515,22553,11266,11281,,,1435.25000702383,0,0
22515,22553,11266,0,,,1188.56446061665,1188.56446061665,0
22515,22553,12683,34858,,,1333.80468488122,0,1333.80468488122
22515,22553,12683,0,,,0,0,0
22515,22553,13593,32050,,,5000.36402403455,0,0
22515,22553,13593,34865,,,16374.9823205198,0,16374.9823205198
22515,22553,13593,34952,,,2224.6484075903,0,2224.6484075903
22515,22553,13593,0,,,182.241335750254,182.241335750254,0
22515,22553,13606,13617,,,2550.76645625038,0,0
22515,22553,13606,13621,,,3417.19646515594,0,0
22515,22553,13606,13622,,,4318.8527335209,0,0
22515,22553,13606,13623,,,1727.6531446155,0,0
22515,22553,13606,13631,,,1672.55585637642,0,0
22515,22553,13606,0,,,588.228067904332,588.228067904332,0
22515,22553,18793,34905,,,10330.5202616605,0,10330.5202616605
22515,22553,18793,0,,,260.038434587145,260.038434587145,0
22515,22553,18806,18822,,,2501.42989416714,0,0
22515,22553,18806,0,,,1971.54788027058,1971.54788027058,0
22515,22553,22553,22563,,,3687.29934163851,0,0
22515,22553,22553,22576,,,3548.49302488268,0,0
22515,22553,22553,22587,,,2702.32610193822,0,0
22515,22553,22553,22591,,,1370.74047996727,0,0
22515,22553,22553,22592,,,1653.34148241251,0,0
22515,22553,22553,22601,,,952.524015551435,0,0
22515,22553,22553,0,,,2063.38558021686,2063.38558021686,0
22515,22553,22563,31250,,,2449.2141795085,0,0
22515,22553,22563,32050,,,6019.35992252411,0,0
22515,22553,22563,33850,,,6097.17968009621,0,0
22515,22553,22563,34776,,,953.78784249385,0,953.78784249385
22515,22553,22563,34785,,,10120.6025101148,0,10120.6025101148
22515,22553,22563,34799,,,1620.35091845376,0,1620.35091845376
22515,22553,22563,34805,,,1387.40695484036,0,1387.40695484036
22515,22553,22563,34833,,,1622.58007987456,0,1622.58007987456
22515,22553,22563,34843,,,1229.36971207663,0,1229.36971207663
22515,22553,22563,34861,,,1184.01930358344,0,1184.01930358344
22515,22553,22563,34865,,,19711.9473379158,0,19711.9473379158
22515,22553,22563,34868,,,1171.8590815807,0,1171.8590815807
22515,22553,22563,34896,,,2396.76935411307,0,2396.76935411307
22515,22553,22563,34915,,,25690.6387343442,0,25690.6387343442
22515,22553,22563,34922,,,3086.13949548563,0,3086.13949548563
22515,22553,22563,34934,,,265197.827986663,0,265197.827986663
22515,22553,22563,34937,,,6009.49888191933,0,6009.49888191933
22515,22553,22563,34952,,,37763.8098058948,0,37763.8098058948
22515,22553,22563,0,,,9385.95467803176,9385.95467803176,0
22515,22553,22576,13617,,,6106.25864803223,0,0
22515,22553,22576,13621,,,8180.3982549061,0,0
22515,22553,22576,13622,,,10338.8657119188,0,0
22515,22553,22576,13623,,,4135.81452322224,0,0
22515,22553,22576,13625,,,1282.51894670721,0,0
22515,22553,22576,13631,,,4003.91758221904,0,0
22515,22553,22576,22587,,,132495.882958338,0,0
22515,22553,22576,22591,,,67207.8288663,0,0
22515,22553,22576,22592,,,81063.8432522163,0,0
22515,22553,22576,22593,,,19956.7070173989,0,0
22515,22553,22576,22601,,,46702.5465168652,0,0
22515,22553,22576,22602,,,4328.99428037364,0,0
22515,22553,22576,34952,,,1000.36084185759,0,1000.36084185759
22515,22553,22576,0,,,1119.9688976685,1119.9688976685,0
22515,22553,22586,30615,,,1068.49649394762,0,0
22515,22553,22586,31015,,,21341.6153161601,0,0
22515,22553,22586,31415,,,1780.1595518236,0,0
22515,22553,22586,32015,,,3196.47501505693,0,0
22515,22553,22586,32815,,,8912.33730489959,0,0
22515,22553,22586,33015,,,1600.30652694412,0,0
22515,22553,22586,33415,,,2811.94775363393,0,0
22515,22553,22586,33815,,,9276.49815800839,0,0
22515,22553,22586,34015,,,1598.25803485983,0,0
22515,22553,22586,0,,,2192.03373945488,2192.03373945488,0
22515,22553,22587,22605,,,261293.106170245,0,0
22515,22553,22587,22610,,,4425.83571996456,0,0
22515,22553,22587,22611,,,13253.0282277954,0,0
22515,22553,22587,22612,,,13220.511517889,0,0
22515,22553,22587,22614,,,1775.28837666683,0,0
22515,22553,22587,0,,,1452.53663708926,1452.53663708926,0
22515,22553,22591,22607,,,135212.8767476,0,0
22515,22553,22591,22610,,,3322.74958885182,0,0
22515,22553,22591,22611,,,9949.87091280956,0,0
22515,22553,22591,22614,,,1332.81917741637,0,0
22515,22553,22591,0,,,32.0560500479621,32.0560500479621,0
22515,22553,22592,22603,,,54147.9386776608,0,0
22515,22553,22592,22608,,,100276.033561043,0,0
22515,22553,22592,22610,,,5562.31996675037,0,0
22515,22553,22592,22611,,,16656.1951675792,0,0
22515,22553,22592,22614,,,2231.15420658968,0,0
22515,22553,22592,0,,,1870.88343553596,1870.88343553596,0
22515,22553,22593,3239,,,3740.1339950745,0,0
22515,22553,22593,13639,,,11454.8611134147,0,0
22515,22553,22593,13640,,,838.55867410964,0,0
22515,22553,22593,22609,,,23972.9285911975,0,0
22515,22553,22593,22610,,,843.688717862877,0,0
22515,22553,22593,22611,,,2526.39978092065,0,0
22515,22553,22593,0,,,1120.03064560504,1120.03064560504,0
22515,22553,22601,30616,,,807.076383405854,0,0
22515,22553,22601,30650,,,5364.68556917983,0,0
22515,22553,22601,34791,,,1548.65190644733,0,1548.65190644733
22515,22553,22601,34865,,,3073.91245944568,0,3073.91245944568
22515,22553,22601,34934,,,84085.8534538943,0,84085.8534538943
22515,22553,22601,34952,,,3626.34120651347,0,3626.34120651347
22515,22553,22601,0,,,5624.11542488915,5624.11542488915,0
22515,22553,22602,34934,,,8614.11597700608,0,8614.11597700608
22515,22553,22602,0,,,1038.05425831129,1038.05425831129,0
22515,22553,31250,34785,,,847.746172897713,0,847.746172897713
22515,22553,31250,34934,,,829.837729062794,0,829.837729062794
22515,22553,31250,0,,,2357.7227288365,2357.7227288365,0
22515,22553,32015,0,,,4020.55460183141,4020.55460183141,0
22515,22553,32016,0,,,1055.18423112824,1055.18423112824,0
22515,22553,32050,0,,,916.390521340836,916.390521340836,0
22515,22553,32110,34865,,,3185.44046331147,0,3185.44046331147
22515,22553,32110,0,,,343.925778062283,343.925778062283,0
22515,22553,34650,0,,,2565.95453100596,2565.95453100596,0
22515,22586,25215,0,,,2493.40923636515,2493.40923636515,0
22515,22586,26015,34816,,,1357.11372114821,0,1357.11372114821
22515,22586,26015,0,,,5131.14143463343,5131.14143463343,0
22515,22586,28015,28015,,,810.383334837718,0,0
22515,22586,28015,34837,,,1192.00097142245,0,1192.00097142245
22515,22586,28015,0,,,2553.02054675672,2553.02054675672,0
22515,22586,29015,0,,,1441.85105201973,1441.85105201973,0
22515,22586,30615,30615,,,7082.30425694436,0,0
22515,22586,30615,30616,,,4983.1662928176,0,0
22515,22586,30615,30656,,,1713.42390959667,0,0
22515,22586,30615,30678,,,1366.88099934407,0,0
22515,22586,30615,30682,,,1363.9805715373,0,0
22515,22586,30615,30683,,,2533.33793719966,0,0
22515,22586,30615,30685,,,3911.67170649427,0,0
22515,22586,30615,30710,,,1315.36275109443,0,0
22515,22586,30615,30733,,,1911.82197627046,0,0
22515,22586,30615,31015,,,1024.55112488947,0,0
22515,22586,30615,32015,,,1166.32487956986,0,0
22515,22586,30615,32016,,,1866.31901215854,0,0
22515,22586,30615,32083,,,1304.99682578934,0,0
22515,22586,30615,34015,,,1510.56333474239,0,0
22515,22586,30615,34016,,,2418.96959169196,0,0
22515,22586,30615,34785,,,3667.28976108736,0,3667.28976108736
22515,22586,30615,34934,,,61301.7338133987,0,61301.7338133987
