L0,L1,L2,L3,L4,L5,value,rest,fd
22905,,,,,,3361204,0,0
22905,22943,,,,,2111745.22460075,0,0
22905,22976,,,,,1249458.77539925,0,0
22905,0,,,,,0,0,0
22905,22943,22943,,,,46742.2103984245,0,0
22905,22943,22953,,,,513950.055687913,0,0
22905,22943,22966,,,,1259016.9679737,0,0
22905,22943,22976,,,,27656.0184834378,0,0
22905,22943,22977,,,,122948.866010715,0,0
22905,22943,22979,,,,8375.9033297911,0,0
22905,22943,22981,,,,5091.01714109771,0,0
22905,22943,22982,,,,3628.66346714479,0,0
22905,22943,22983,,,,4447.78099375031,0,0
22905,22943,22986,,,,420.141528094119,0,0
22905,22943,22988,,,,37350.8018169536,0,0
22905,22943,22991,,,,82070.3518879714,0,0
22905,22943,22992,,,,46.4458817569033,0,0
22905,22943,0,,,,0,0,0
22905,22976,25215,,,,223.159238205102,0,0
22905,22976,25815,,,,89.9247233111512,0,0
22905,22976,26015,,,,1188.47427720137,0,0
22905,22976,27015,,,,189.63054412419,0,0
22905,22976,28015,,,,2619.54158811303,0,0
22905,22976,29615,,,,122.564433561816,0,0
22905,22976,30815,,,,40.1616358808088,0,0
22905,22976,31015,,,,312703.63213357,0,0
22905,22976,31415,,,,70.4573596381114,0,0
22905,22976,31815,,,,157.724731152726,0,0
22905,22976,32215,,,,11453.9235611971,0,0
22905,22976,32815,,,,10689.7338033145,0,0
22905,22976,33015,,,,887.926926272728,0,0
22905,22976,33415,,,,280.425126092174,0,0
22905,22976,33815,,,,894682.019718401,0,0
22905,22976,34215,,,,4127.07603843391,0,0
22905,22976,34615,,,,1334.82857643942,0,0
22905,22976,34952,,,,8541.07239252525,0,8541.07239252525
22905,22976,0,,,,56.4985918178397,56.4985918178397,0
22905,22943,22943,22943,,,1034.6107132046,0,0
22905,22943,22943,22953,,,11375.975357912,0,0
22905,22943,22943,22966,,,27867.5833271219,0,0
22905,22943,22943,22976,,,612.149334908508,0,0
22905,22943,22943,22977,,,2721.39919928413,0,0
22905,22943,22943,22979,,,185.395582363388,0,0
22905,22943,22943,22981,,,112.686602332043,0,0
